t,BMK1,MRNA,NFATc,NFATn,NFATpc,NFATpn,GSK3betac,GSK3betan,CaNc,CaNc_star,CaNn_star,CaNn,CaM,CaMCa,MCIP,MCIPp,MCIPpp,Comp1,Comp2,Comp3,P1433,MCIP_BMK1,MCIPp_CaNc_star,MCIPp_GSK3betac,MCIPpp_CaNc_star,NFATpc_CaNc_star,NFATc_GSK3betac,NFATpn_CaNn_star,NFATn_GSK3betan
0.0,0.012,0.000333,2e-05,0.000499,0.00494,8.01e-05,0.17,0.339,0.91,0.0275,0.0568,0.0057,25.2,7.88e-07,0.000215,0.00776,0.0798,0.00521,0.283,0.014,0.708,2.14e-05,0.000107,0.0011,0.0011,8.15e-05,1.36e-06,2.27e-06,8.46e-05
0.01,0.011999999421052052,0.0003330006719334148,2.012743882147601e-05,0.0004989203092017916,0.004939882523667233,8.017990966462693e-05,0.16999950434135933,0.3390004996795224,0.9081365191884648,0.029362325353671385,0.056801018917383456,0.003836519188464377,25.198059163664464,7.814352399419358e-05,0.00021490708119896527,0.007760064300112223,0.07980043674817598,0.005210098135400057,0.2829994931712564,0.013999989926721829,0.7080005169020223,2.1400578947949367e-05,0.00010700635822728568,0.001099996020824402,0.0011000660544129102,8.146597449955393e-05,1.360010642786842e-06,2.2700179409673702e-06,8.459994765112997e-05
0.02,0.011999998966255674,0.00033300145343180434,2.026862334986769e-05,0.000498841209599811,0.004939751174927913,8.025970573397005e-05,0.1699990092779631,0.3390009986406144,0.9061992077836254,0.03129589247079055,0.0568042390264728,0.0018992077836248885,25.19612164406423,7.835171938852288e-05,0.0002146247818216684,0.00776026754869202,0.07980071749188627,0.0052104006736487,0.28299898828276376,0.013999979518632626,0.7080010321986041,2.1401033744323776e-05,0.00010702768323398881,0.001099992168412687,0.0011002859830180638,8.144633631726678e-05,1.3600442236556796e-06,2.270042893723579e-06,8.45998687861757e-05
0.03,0.011999998782467878,0.0003330024589632094,2.042346764879948e-05,0.0004987627740840893,0.0049396060183423685,8.033938829741517e-05,0.16999851465049998,0.3390014968840426,0.9042622609267439,0.03322651460375475,0.056809657473254165,-3.773907325659866e-05,25.194184488287586,7.856063915321925e-05,0.00021415806637319589,0.00776060934989252,0.07980084321352784,0.005210902684026814,0.28299848459962246,0.013999968724033366,0.7080015466763446,2.1401217532119095e-05,0.00010706393372615908,0.0010999885979351186,0.0011006592851080174,8.144101821636893e-05,1.3601037584657652e-06,2.2700751703088316e-06,8.459976376383807e-05
0.04,0.011999998943194586,0.00033300374637583723,2.0591916086032756e-05,0.0004986850404246622,0.004939447098460107,8.041895741911827e-05,0.16999802037691794,0.3390019944100739,0.9023256791410269,0.035154198077886625,0.05681727108664799,-0.0019743208589736343,25.19224769683685,7.877030417243009e-05,0.000213510161949292,0.007761089391831831,0.07980081454037954,0.0052116009462669635,0.2829979817417231,0.013999957516136623,0.7080020607421408,2.140105680541049e-05,0.00010711507759631079,0.0010999853894148749,0.001101185581440294,8.144997420204954e-05,1.360190804242865e-06,2.270114933384907e-06,8.45996327890471e-05
0.05,0.011999999512312962,0.0003330053659297577,2.07739203485327e-05,0.0004986080414264197,0.0049392744539684345,8.049841315450871e-05,0.16999752638594234,0.3390024912189424,0.9003894628737724,0.0370789483731752,0.056827077112696564,-0.003910537126228273,25.19031127014835,7.898072541966896e-05,0.0002126838507326356,0.00776170740368871,0.07980063201722733,0.005212492684084252,0.2829974793789115,0.013999945871676312,0.7080025747494127,2.1400487687033896e-05,0.00010718108692844188,0.001099982612362404,0.0011018645426868964,8.14731643327143e-05,1.3603067134322157e-06,2.270162324197291e-06,8.459947603946203e-05
0.06,0.012000000679917716,0.00033300746834425955,2.096933174043509e-05,0.0004985318777890119,0.004939088204002783,8.057775571019968e-05,0.1699970324597938,0.3390029873111014,0.8984536134910088,0.03900078334861381,0.056839067070025215,-0.005846386508991781,25.188375209580876,7.919191012789005e-05,0.00021168867333033747,0.007762462553475846,0.07980029731787822,0.005213568376319302,0.2829969764991309,0.013999933719236485,0.7080030897816331,2.1399320082280748e-05,0.00010726187749850305,0.0010999804793795167,0.0011026951532534155,8.151046550344656e-05,1.3604556259359092e-06,2.270217778317306e-06,8.45992940993671e-05
0.07,0.012000002422333718,0.0003330100357709158,2.1178164340136988e-05,0.0004984565397567646,0.004938888337338222,8.065698509496973e-05,0.16999653862036246,0.3390034826862974,0.8965181308763046,0.040919702066187606,0.056853241759153884,-0.007781869123696059,25.18643951501867,7.940385762753221e-05,0.0002105244905425105,0.00776335492158229,0.079799810281487,0.00521482816136373,0.282996473201521,0.013999921065737367,0.7080036057327421,2.1397577666277126e-05,0.00010735745878281017,0.0010999789692656453,0.0011036775077238302,8.15618892292835e-05,1.3606371314972037e-06,2.270281255290217e-06,8.459908694303863e-05
0.08,0.01200000487527336,0.00033301317620796185,2.140031002749679e-05,0.0004983821004537894,0.004938674940624799,8.073610147127676e-05,0.16999604470984667,0.33900397734476906,0.894583016030815,0.042835717833221355,0.05686959501219671,-0.009716983969185623,25.184504187455346,7.961657546242999e-05,0.00020919856858104687,0.007764383903793345,0.07979917212408565,0.0052162647875935875,0.28299596875163585,0.013999907859320093,0.7080041233890446,2.1395124726635467e-05,0.00010746777020642463,0.001099978236143821,0.001104810866958877,8.162734593691331e-05,1.3608542323858794e-06,2.270353072180828e-06,8.459885500809935e-05
0.09,0.012000008128969262,0.0003330169634771003,2.1635686745422697e-05,0.0004983086149456485,0.004938448079728623,8.081510502477305e-05,0.16999555061112634,0.33900447128624006,0.8926482697382674,0.04474884207356634,0.05688812213904371,-0.011651730261733322,25.182569227671173,7.983006708868561e-05,0.00020771776201912654,0.0077655490463068655,0.07979838376369923,0.005217871413120751,0.28299546259875585,0.013999894060934479,0.7080046433403102,2.1391871030733217e-05,0.00010759276853152916,0.0010999783947727082,0.0011060946666473484,8.170676735301656e-05,1.3611091695165358e-06,2.270433471077562e-06,8.45985986914409e-05
