t,R,Shc,PI3K,HRG,R_HRG,R_HRG2,Internalisation,RP,R_Shc,R_ShP,ShP,R_ShGS,ShGS,GS,R_PI3K,R_PI3Kstar,PI3Kstar,RasGTP,RasGDP,Akt_PIPP,RAF_star,RAF,MEKP,MEKPP,P,PIP3,Akt,Akt_PIP3,Akt_PIP,MEK,ERK,ERKP,ERKPP
0.0,80.0,1000.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,120.0,0.0,100.0,0.0,0.0,0.0,800.0,0.0,10.0,0.0,0.0,120.0,1000.0,0.0,0.0
0.01,79.99040521821861,999.9999999999987,9.999999999999988,9.990405218218598,0.009594775640813603,3.0626408881853292e-09,1.3185333401613889e-17,6.385372726160146e-12,1.2726818728872398e-12,1.649955180823361e-14,3.2118059334604677e-15,-3.020576800589066e-14,5.4155778588389775e-14,9.999999999999977,1.2922419001020919e-14,2.0465683383742034e-16,1.38660318074662e-17,1.7339016535018064e-17,120.0,-4.903608307220032e-21,99.99956407890875,0.00043592109125918513,0.954085318472964,0.0031733480990084367,799.9999999999987,5.416990537104213e-12,10.000000000003984,-3.984598010408156e-12,1.3978511043441019e-16,119.04274133342803,999.9999993152179,6.847821680550987e-07,3.9536176433180124e-16
0.02,79.98082086384352,999.9999999999629,9.999999999999638,9.980820863843523,0.019179087106208602,2.4403274086208206e-08,3.696670770913893e-16,8.769313131858087e-11,3.4430526808999206e-11,4.1465154838863737e-13,3.404566420195462e-13,-1.0394495932351673e-12,2.6993969510276413e-12,9.99999999999834,3.549372211876107e-13,1.0747322570159726e-14,1.4931166883812796e-15,1.8248752664486924e-15,120.0,8.615943045216146e-20,99.99912815795942,0.0008718420406166545,1.8942565327878702,0.012631311561469055,800.000000000025,-9.517878385795515e-11,9.999999999929996,7.001106251469993e-11,-2.456083998615397e-15,118.09311215565062,999.9999945443955,5.455604898544235e-06,2.530868482305037e-14
0.03,79.97124692333882,999.9999999997494,9.999999999997511,9.97124692333881,0.02875291130097577,8.206521031920713e-08,2.5153434522164393e-15,3.9112309482005546e-10,2.2600094035814035e-10,2.5783333643268727e-12,4.744832625570919e-12,-7.272294583234142e-12,2.426327050370235e-11,9.999999999983011,2.3651296529333027e-12,1.0276465352706927e-13,2.2024116878301684e-14,2.5243594744659803e-14,119.99999999999999,4.7106679888552384e-21,99.99869223715199,0.001307762848071308,2.8206799161371077,0.02828176839820887,800.000000000001,-4.658238590167771e-12,9.999999999996577,3.427336281345994e-12,-1.195309639120643e-16,117.15103831546465,999.9999816560878,1.834391234323368e-05,2.8864396242861754e-13
0.04,79.9616833831912,999.9999999990445,9.999999999990518,9.961683383191186,0.03831622526656599,1.938357879764253e-07,9.613593882646609e-15,1.1102089569881981e-09,8.341846416854762e-10,9.206611545150234e-12,2.917090461225499e-11,-2.7613246151939157e-11,1.1033824625188067e-10,9.999999999917279,8.856267504262542e-12,4.878048972261418e-13,1.4109645699888328e-13,1.5408838547606315e-13,119.99999999999986,9.046522301405439e-21,99.99825631648643,0.0017436835136220468,3.7335192719594272,0.05003396101770109,799.9999999999997,-1.5725624858706469e-15,9.999999999999996,8.18333391343247e-15,8.157538900366642e-18,116.21644676702282,999.9999566782727,4.33217261496803e-05,1.6025557495823224e-12
0.05,79.95213022990852,999.9999999973307,9.99999999997355,9.952130229908514,0.04786900617666297,3.7725481593336267e-07,2.689688784515646e-14,2.471630761633859e-09,2.2565845019668588e-09,2.43680227667184e-11,1.1592679788807875e-10,-7.58850318270104e-11,3.4801629489653727e-10,9.999999999727873,2.428771607224651e-11,1.5876941890678074e-12,5.780507362191251e-13,6.080555866075665e-13,119.9999999999994,6.905815613570052e-20,99.99782039596279,0.002179604037267772,4.632936035909707,0.07779844030199563,799.999999999999,2.6240946366387113e-12,10.0000000000019,-1.8961714462855814e-12,1.1834561258364725e-16,115.28926552378825,999.9999156962721,8.430372238764289e-05,6.025888966553231e-12
0.06,79.94258745002053,999.9999999938515,9.999999999939176,9.942587450020529,0.05741123134155773,6.496089352781886e-07,6.204038300435141e-14,4.732075735580777e-09,5.03638371289034e-09,5.355461886761199e-11,3.530377688707944e-10,-1.7107503201062815e-10,8.763910060317165e-10,9.999999999294687,5.492694160226139e-11,4.0986521449840565e-12,1.8028599342948753e-12,1.838770200510223e-12,119.9999999999982,3.7217956462444536e-19,99.99738447558104,0.0026155244190073823,5.519089243158572,0.11148708410959793,800.0000000000006,-3.765663895057206e-12,9.999999999997113,2.890715660156354e-12,1.2016871202744604e-16,114.36942367273177,999.9998548539139,0.00014514606882422458,1.779244826784513e-11
0.07,79.93305503007888,999.9999999875802,9.999999999877353,9.93305503007887,0.06694287820842373,1.0279338094559003e-06,1.254782892078017e-13,8.17649460134933e-09,9.861592606000573e-09,1.0367236403992078e-10,8.980835757402461e-10,-3.373112349360956e-10,1.893549369456955e-09,9.999999998443764,1.0893375601864646e-10,9.0404953786419e-12,4.677474531701293e-12,4.644244925212938e-12,119.9999999999954,1.4670521065632694e-18,99.99694855534122,0.0030514446588397756,6.392135571288209,0.15101307398801347,799.9999999999998,-1.86696609846903e-12,9.999999999998284,1.721294231041916e-12,6.893780229499299e-16,113.45685135472372,999.9997703528675,0.00022964708855357995,4.449880601289758e-11
0.08,79.92353295665608,999.9999999772045,9.999999999775294,9.923532956656073,0.07646392435498288,1.5290284547022758e-06,2.3057926937810655e-13,1.3116076076627313e-08,1.755620021031556e-08,1.8295430029085157e-10,2.001657206447878e-09,-6.035485448953167e-10,3.6580151816200744e-09,9.999999996945535,1.9633176353246583e-10,1.777759851153873e-11,1.0601047738480001e-11,1.0276189602348572e-11,119.99999999998977,4.810469892528174e-18,99.99651263524329,0.0034873647567638397,7.252229497445669,0.19629080873536625,800.0000000000002,-5.2509714590850634e-12,9.999999999995282,4.722819122038852e-12,1.9704213287415274e-15,112.55147969381892,999.9996584491836,0.00034155071846993186,9.842144304072424e-11
0.09,79.91402121634611,999.9999999610975,9.99999999961721,9.914021216346116,0.08597434749302613,2.169450866192355e-06,3.939458929036554e-13,1.9888622325137318e-08,2.9082074370048428e-08,3.009791997176289e-10,4.0313201538246715e-09,-1.0036363111303303e-09,6.4915492136918034e-09,9.99999999451209,3.290894300987505e-10,3.204507334133451e-11,2.1661087600728462e-11,2.0545851201561373e-11,119.99999999997951,1.3570089231605586e-17,99.99607671528729,0.003923284712778453,8.099523274254853,0.2472359180941756,800.0000000000047,-2.5841841637654216e-11,9.999999999979103,2.089902339023194e-11,4.587590130066091e-15,111.65324080765092,999.9995154541896,0.0004845456129056557,1.9800687581022595e-10
0.1,79.90451979576443,999.9999999372898,9.999999999384059,9.904519795764443,0.09547412546855277,2.965520406979993e-06,6.357090442476107e-13,2.8858047704124408e-08,4.553687981007056e-08,4.686512375892346e-10,7.500053851917986e-09,-1.576244443329489e-09,1.078066236659132e-08,9.999999990795583,5.211603410552018e-10,5.39703529895471e-11,4.081716057483172e-11,3.794511304176308e-11,119.99999999996211,3.396441761555144e-17,99.99564079547316,0.004359204526882479,8.93416697270185,0.3037652394655089,799.9999999999785,6.559126701331407e-11,10.000000000044452,-4.445782193299733e-11,1.3504154040897597e-14,110.76206778783258,999.9993377337987,0.0006622658319914375,3.697753817020259e-10
