t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103
0.0,5e-08,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81000.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.0,0.0,26300.0,0.0,72000.0,0.0,0.0,0.0,40000.0,101000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,40000.0,0.0,0.0,21000000.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,22100000.0,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,5e-08,49255.38650296876,744.3255383608489,0.030688610082257636,7.693179495341839e-05,0.24812073983093355,1.944530222325238e-17,7.730617533147806e-11,1.0641614825798505e-16,3.8390932922226414e-19,1.3062405162580521e-15,81000.0,4.19574565017028e-30,11999.999999996922,3.058240092339522e-09,5.462692193261089e-24,5.164456200732766e-15,2.0772068035012316e-18,3.413879993837638e-18,1.0587639217827381e-20,1.5530916802525542e-22,10978.932129468465,9.435335632837833e-13,26278.93212946846,1.5511237090392396e-12,72000.0,4.096586816407103e-15,2.652275598700882e-18,6.008090388642316e-17,40021.06787053152,101000.0,1.81506599057786e-11,1.597695225218871e-13,3.76888998560055e-17,4.133338675987804e-16,8.527944160908055e-19,1.2502439685653497e-20,1.4718010828987968e-19,2.5919360604393117e-20,6.19959509160074e-17,40000.0,2.0183879612238646e-22,3.111507871750775e-20,40000.0,1.4848155367708983e-25,6.531743774387944e-28,21000000.0,5.656030127123714e-26,1.6232820420233891e-28,1.91221113366528e-60,2.2629684946970162e-63,3.2137442861167963e-68,40000.0,2.1025065060044093e-33,22100000.0,6.60920801970029e-65,4.00848061096448e-67,5.773446966998219e-139,9.132060844346644e-143,10000000.0,2.6417282233185024e-148,9.980340903486062e-70,3.989505143284156e-17,4.125223710677252e-19,1.0788620956667974e-22,1.1831719344611017e-21,2.6036125941682915e-24,3.817215077349349e-26,6.0756061391604954e-24,4.107850636476775e-28,7.128750870327671e-26,2.766687949534813e-31,1.0697036104644938e-33,9.26503441749777e-32,2.334605579450721e-34,5.221680703515379e-72,4.199748966926614e-75,3.8127567855701605e-80,2.486821318558931e-39,7.865029837208681e-77,2.239444905313779e-79,2.083264392335355e-163,8.625266874955414e-168,7.2186040459833245e-174,3.009561966721874e-82,6.84050374963529e-06,7.196357320248075e-16,3.196618098997481e-17,7.432476213123817e-20,1.0898327820353099e-21,6.064739950850132e-22,6.65118228690288e-21,1.2189588542439496e-23,1.7867722144456245e-25,1.1976005475835614e-168,8.799902532916381e-200,4.6065689660330065e-172,4.1592922420045256e-203,5.67404043376789e-178,1.3091891330692415e-209,4.902746684431306e-153,1.3396958976153415e-178,2.498972516550247e-162
0.02,5e-08,48521.890686567145,1477.1736823440422,0.24202468298602417,0.0012169395611628386,0.49252041923841205,2.3711140711907177e-15,2.442851939277172e-09,3.736307057947282e-09,4.7091242353151924e-17,8.157563687216035e-14,80999.99999999626,1.9339108525366033e-27,11999.99999990273,9.597805553251961e-08,1.305432252043334e-21,3.2017257728562076e-13,2.5279658831076615e-16,4.1559962283674836e-16,2.5091021178910593e-18,3.687332186012703e-20,10957.923362715377,5.852335083470188e-11,26257.92336271543,9.626874187011844e-11,72000.0,4.986948665399153e-13,6.299081118005666e-16,7.326253748883582e-15,40042.07663728446,100999.99999999888,1.1190048299674235e-09,1.9319844994574014e-11,8.871285898148813e-15,9.740199673161607e-14,3.876629560153677e-16,5.690616829100907e-18,6.703361342801542e-17,1.1770036577646247e-17,1.460854198543711e-14,40000.0,9.244180011787621e-20,7.401228780783483e-18,40000.0,1.0324850248621466e-22,8.772303896553673e-25,21000000.0,7.582735321029874e-23,4.204715748810807e-25,1.0236194623023595e-54,2.3560742230008102e-57,3.2976884620831365e-62,40000.0,1.0450692224734061e-29,22100000.0,6.15961045614851e-59,6.956937061497819e-60,7.825873314082415e-127,2.2883222895700744e-128,10000000.0,2.3131112600513805e-133,2.2083483286525924e-62,4.818926255223904e-15,9.703538971210054e-17,4.894542538712664e-20,5.373321974068984e-19,2.2582990736326015e-21,3.315251733059243e-23,2.781324447185259e-21,3.589363755801783e-25,3.2688848316148584e-23,3.7147378457925626e-28,2.7722504792978176e-30,2.3974431557392435e-28,1.1596884971108168e-30,9.075329873358256e-66,1.6157193339935648e-68,5.990127583180171e-73,2.533166649799646e-35,1.2117993038434177e-69,2.8610213327202706e-71,6.161503822935947e-149,1.7613228293829656e-151,1.2102083662373113e-156,8.910997567698022e-74,2.722506245764511e-05,4.501422526310605e-14,3.8999675794721524e-15,1.7645169797892568e-17,2.5911243411859475e-19,2.758709747915987e-19,3.028540858792072e-18,1.0595029662512601e-20,1.5547686276490183e-22,1.7942371759823915e-152,4.1217269203565496e-181,1.860814257849737e-155,5.345057773592984e-184,5.841109128301785e-160,2.607562029791464e-189,4.2886202386808376e-138,2.24446414647413e-161,1.4049565087788151e-145
0.03,5e-08,47799.34653425013,2198.362862814509,0.8051030028248409,0.006089940680666165,0.733254598316948,3.9575659811468383e-14,1.8372311853351443e-08,-1.0388286545303368e-10,7.906868869370993e-16,9.182773332486298e-13,81000.00000000009,7.351300873256571e-26,11999.99999926862,7.168792020853227e-07,3.2765777642085317e-20,3.5779704787861953e-12,4.211011892177727e-15,6.9249961544920456e-15,6.242091861623178e-17,9.191218210283849e-19,10936.973467910939,6.543128316222702e-10,26236.973467911586,1.0769953569867956e-09,72000.0,8.309142323793942e-12,1.5712121930717723e-14,1.2227766349421134e-13,40063.02653208733,100999.99999998731,1.2435787302243651e-08,3.1973735301058935e-10,2.1913473054749814e-13,2.408635608288797e-12,1.45031951537751e-14,2.132093695478725e-16,2.5133849394206047e-15,4.3993167127093916e-16,3.6123787684327654e-13,40000.0,3.4894344943464976e-18,1.849210276782822e-16,40000.0,4.825702946368825e-21,6.528573558372598e-23,21000000.0,5.629922722850555e-21,5.140357241233944e-23,6.621966803134839e-51,7.196201661678399e-54,8.841522566002543e-57,40000.0,2.1972600297125007e-27,22100000.0,1.795168502979144e-53,3.230602447640372e-55,1.4253561358240131e-115,4.665622746851493e-118,10000000.0,7.131527962340799e-119,3.1932914866586805e-56,7.966453324647606e-14,2.395037830272799e-15,1.827485302480268e-18,2.0080916171753946e-17,1.305692669277694e-19,1.919941570737396e-21,1.0494688527142283e-19,2.0955243669984066e-23,1.2358196243987368e-21,2.7640016033228704e-26,3.392120074817558e-28,2.926754763198079e-26,2.43612980008591e-28,1.6390005580469414e-61,1.7321868394486597e-64,1.944242870852197e-67,9.533275137073604e-33,3.9537174882264036e-64,6.561002150290294e-66,6.55504862116532e-137,2.019720864579332e-139,2.884675392067129e-140,5.941812881139342e-67,6.095054960535274e-05,5.075313572499797e-13,6.512605389064294e-14,4.3980778502484556e-16,6.4684982719824785e-18,1.0331567348175924e-17,1.135209878874731e-16,6.142097756807834e-19,9.025878222554156e-21,4.985035383039778e-137,1.3048013130918662e-163,1.0937470895616368e-139,3.7380166187024747e-166,2.9532292016514516e-144,7.2592074708840985e-171,1.320792299591404e-123,5.342778591546181e-145,8.431121702323686e-131
0.04,5e-08,47087.59049514886,2907.7264269265534,1.880669009544709,0.019023912469728167,0.9703780075259453,2.9195742882938825e-13,7.667108004858594e-08,-6.493146677707487e-13,5.868173935673569e-15,5.108098038579043e-12,80999.99999999997,9.694307308153196e-25,11999.999996948593,2.971107952431072e-06,3.241456742225494e-19,1.9757785590912244e-11,3.100421549909221e-14,5.1003493251459365e-14,6.122159214096115e-16,9.031914867970203e-18,10916.082214428412,3.6148447495448966e-09,26216.08221443203,5.953775894243013e-09,71999.99999999996,6.119385910662638e-11,1.545431665044315e-13,9.020834097757756e-13,40083.91778556195,100999.99999992941,6.828744856842482e-08,2.3388493562695843e-09,2.134142062933041e-12,2.3485338164649672e-11,1.8841860808381622e-13,2.7737663822872927e-15,3.272062132792184e-14,5.709180703619059e-15,3.5220133520352995e-12,40000.0,4.572578233984162e-17,1.8218657147332882e-15,40000.0,7.126792106127827e-20,1.2962593672294915e-21,21000000.0,1.1154740533885856e-19,1.3765599483219884e-21,3.609665468306008e-48,4.274237444831901e-51,7.282552606049215e-54,40000.0,8.000952699202487e-26,22100000.0,1.4680900111597351e-50,3.5496418161343985e-52,1.5051787306927206e-109,7.155402354511939e-112,10000000.0,1.7253475123454253e-112,4.900904342335249e-53,5.821110520159449e-13,2.3309184019679507e-14,2.369228969039594e-17,2.606177997783417e-16,2.261620378388693e-18,3.330537570109758e-20,1.3749074986705545e-18,3.6627816252795985e-22,1.6220142409150693e-20,5.487502064424089e-25,9.091706207654261e-27,7.8289416080270405e-25,8.865055812879121e-27,1.652767891782244e-58,1.9186830635175216e-61,3.028666302408393e-64,4.758442276538467e-31,6.116385080079963e-61,1.386315447880135e-62,2.576836701059202e-130,1.1813589540536147e-132,2.7299616554701103e-133,1.7844757764670523e-63,0.00010781687139393562,2.8278517150778774e-12,4.807115326182497e-13,4.321534118797886e-15,6.365651003919928e-17,1.3432532346189494e-16,1.477492699778314e-15,1.0664186860383262e-17,1.5691124220772383e-19,6.9034903581946985e-130,9.324794117976008e-156,2.703541045652106e-132,4.746730421736894e-158,6.676321473433063e-137,8.691972827553118e-163,3.191475323780336e-117,5.0500080410407524e-138,3.243976528186545e-124
0.05,5e-08,46386.46144826392,3605.112680646317,3.6192185964908945,0.045901404356093245,1.2039445598984306,1.3716863766717778e-12,2.3169666058096166e-07,2.230214161964533e-12,2.77360396472773e-14,1.9292472309498125e-11,80999.99999999997,7.16795350958367e-24,11999.99999078109,8.916985932762802e-06,1.9163551057669223e-18,7.407852081540574e-11,1.4537901902756587e-13,2.392372655296551e-13,3.58846733996103e-15,5.304189380479733e-17,10895.249372835344,1.3559438984663393e-08,26195.24937284892,2.2347059806395205e-08,71999.99999999971,2.8701292863103976e-10,9.086992779977356e-13,4.23829108929982e-12,40104.75062712832,100999.99999973438,2.5460279524346537e-07,1.089563763295574e-08,1.2421208048326829e-11,1.3685183454095263e-10,1.372596891813115e-12,2.023450547586623e-14,2.388584096706797e-13,4.1545114094903406e-14,2.0521784271079113e-11,40000.0,3.360605474047883e-16,1.0730218575960192e-14,40000.0,5.672360789224404e-19,1.2959130488024286e-20,21000000.0,1.1128533578050537e-18,1.7276809805388113e-20,4.612518194832285e-46,5.772817998195383e-49,1.264473690295146e-51,40000.0,1.2639388916856876e-24,22100000.0,2.5303262745155354e-48,7.629302912090103e-50,6.656840572963244e-105,4.1432342771059054e-107,10000000.0,1.4209914583946437e-107,1.3673549304034328e-50,2.7089225636537073e-12,1.355724912405363e-13,1.7223526121734306e-16,1.8966569832130246e-15,2.058368413510657e-17,3.035712540042329e-19,1.0103730551156615e-17,3.3646557314929884e-21,1.1941568692731834e-19,5.486141469283726e-24,1.1421293603447365e-25,9.816054415988564e-24,1.3996919855511823e-25,3.3658477788698946e-56,4.146550198515898e-59,8.47514172258314e-62,9.474147705590911e-30,1.699421374730832e-58,4.8459642037109776e-60,3.065142755308223e-125,1.8655667614523185e-127,6.219713219584311e-128,8.167741683268563e-61,0.0001676269218765372,1.069782166450082e-11,2.2597480837557727e-12,2.5377066836299112e-14,3.743796206302273e-16,9.792752832605247e-16,1.0782858736331385e-14,9.728636485009392e-17,1.4332679823541712e-18,2.155794183157065e-124,9.893441653036174e-150,1.3212878549812439e-126,7.846180564411573e-152,3.045573931579574e-131,1.3682436314552036e-156,2.6251031810410046e-112,1.1490822670826571e-132,3.816524421660634e-119
0.06,5e-08,45695.80066663016,4290.384882182002,6.1611213412160355,0.09405719862969078,1.4340073632589774,4.8425473013705775e-12,5.708625828505026e-07,2.400981757158995e-14,9.850565421108607e-14,5.7031672609467313e-11,80999.99999999997,3.669528320426395e-23,11999.999977291764,2.181970691200283e-05,8.172244824077068e-18,2.1740014110018268e-10,5.122367053053627e-13,8.432345883713293e-13,1.5172894037430847e-14,2.2470516664647364e-16,10874.474714883558,3.981086636014745e-08,26174.474714923428,6.56535186900102e-08,71999.99999999898,1.0115305777397985e-09,3.855353190394954e-12,1.4963016825685867e-11,40125.52528500933,100999.99999921815,7.430269205447298e-07,3.8141257335515795e-08,5.2151487679642864e-11,5.752631791169218e-10,6.9237252617628715e-12,1.0220967776419944e-13,1.2073515222481383e-12,2.093371892110964e-13,8.625800481659821e-11,40000.0,1.7105468744562342e-15,4.5601450754439364e-14,40000.0,3.0574023544643257e-18,8.4063016276089e-20,21000000.0,7.203915273671395e-18,1.3469110270461986e-19,2.273492911255171e-44,2.943509989120513e-47,7.635621572149894e-50,40000.0,1.1855688060884918e-23,22100000.0,1.5187310337679062e-46,5.2836158319280587e-48,1.9800722046599315e-101,1.3089940757221875e-103,10000000.0,4.878529569831393e-104,1.1264499261241751e-48,9.473032111027594e-12,5.688295874841006e-13,8.670045019251035e-16,9.55778857106722e-15,1.2447116665390217e-16,1.83842628107074e-18,5.142840608245903e-17,2.0540241412061935e-20,6.089512943262138e-19,3.559155677947701e-23,8.912956803528475e-25,7.645736919821074e-23,1.3123101534285393e-24,2.3744097917842902e-54,3.0262200864952575e-57,7.282055649349279e-60,1.068390057319379e-28,1.4521885078253225e-56,4.76263126935634e-58,1.6921637398795255e-121,1.0849526233333352e-123,3.883183704421164e-124,9.499474199251787e-59,0.00024018653806903793,3.167628412554852e-11,7.982158075926036e-12,1.0749687323420399e-13,1.5882977515775254e-15,4.943447825770156e-15,5.449029937380266e-14,5.896705878585895e-16,8.698232215702978e-18,1.2837381252114797e-120,1.1440706380380863e-145,1.04163450240047e-122,1.2111100010846195e-147,1.9493628876559893e-127,1.6790506446086553e-152,9.009169610168917e-109,7.17208467039526e-129,1.4261165391985667e-115
0.07,5e-08,45015.45178225365,4963.421189106444,9.636765255087962,0.1721772413591777,1.66061873218262,1.4037426309765638e-11,1.2216372627493569e-06,1.24060355734187e-12,2.87254804000793e-13,1.423730746798473e-10,80999.99999999994,1.4586042677005386e-22,11999.999951416667,4.6375159549396964e-05,2.782452287178492e-17,5.387942763398908e-10,1.4819636141870865e-12,2.440443484955785e-12,5.122296372071567e-14,7.60056429701224e-16,10853.758013499184,9.870784608157632e-08,26153.758013598086,1.628874819330236e-07,71999.999999997,2.9271875778219545e-09,1.306367055200002e-11,4.3375332160160484e-11,40146.2419862341,100999.99999805672,1.8312420386438308e-06,1.096316020063293e-07,1.7482614597309424e-10,1.9307234228859546e-09,2.7118082095939513e-11,4.0088121832278686e-13,4.73859841900965e-12,8.190226657967946e-13,2.894804491796434e-10,40000.0,6.762000161516126e-15,1.5477893074677438e-13,40000.0,1.2624776521500776e-17,4.0597059496421684e-19,21000000.0,3.4718323101141253e-17,7.598262147293071e-19,6.191803392416879e-43,8.241396253300395e-46,2.470918969025358e-48,40000.0,7.821225806195985e-23,22100000.0,4.8860935412611074e-45,1.9088400589011785e-46,2.2708020185724176e-98,1.5858781496856466e-100,10000000.0,6.353494832804903e-101,4.684572772898859e-47,2.72012612626057e-11,1.905602780118625e-12,3.388800479129396e-15,3.739835635453303e-14,5.684249873501296e-16,8.408001962947562e-18,2.033282933773681e-16,9.472263259827617e-20,2.412027649843255e-18,1.7192123447249376e-22,5.0334209955556645e-24,4.3095933064504685e-22,8.654033677714136e-24,8.841216112104648e-53,1.15874151756156e-55,3.207518037805587e-58,8.235282200511897e-28,6.363073700167828e-55,2.336489168056107e-56,3.5394353778627887e-118,2.3781465895322213e-120,9.049956588923404e-121,5.332566563295024e-57,0.00032530445601978715,7.920592323799267e-11,2.3151369768449426e-11,3.635673900768353e-13,5.380063712283066e-15,1.937668631819273e-14,2.1381078644955446e-13,2.6991373630561655e-15,3.98652162309363e-17,3.819175884981126e-117,6.991441153046486e-142,4.294991225008845e-119,1.0257997690842992e-143,6.078968582153005e-124,1.0655438991916601e-148,1.172652523211386e-105,1.6707055280256796e-125,1.9873124279053321e-112
0.08,5e-08,44345.26075158521,5624.114560973211,14.166721759245057,0.2901993533877677,1.8838301997722726,3.522163798693719e-11,2.358026394690529e-06,-9.727724893633579e-12,7.250616540360285e-13,3.1404245477644783e-10,80999.9999999999,4.815829211076908e-22,11999.999906246365,8.890467154932917e-05,8.032664472268871e-17,1.1799074710792534e-09,3.71121969150772e-12,6.1137013274936325e-12,1.4663122233468498e-13,2.1799423588783653e-15,10833.09904277235,2.162509236954551e-07,26133.099042989143,3.5708823838366187e-07,71999.99999999243,7.332135010533077e-09,3.7544600745797427e-11,1.088367543804425e-10,40166.9009566407,100999.99999573227,3.9879859448478355e-06,2.7276663618485403e-07,4.969524799627343e-10,5.494682478227752e-09,8.822759562174988e-11,1.3060708101247248e-12,1.5448689743459713e-11,2.6617876275400378e-12,8.237702953844671e-10,40000.0,2.2209256007174336e-14,4.4558577357068386e-13,40000.0,4.2920538205114536e-17,1.5803342838978643e-18,21000000.0,1.3486985963705465e-16,3.3828602346412322e-18,1.0658651150077366e-41,1.4522101111902057e-44,4.961742400506209e-47,40000.0,3.9872249864471473e-22,22100000.0,9.752395643198489e-44,4.223052507476954e-45,1.0385150715943266e-95,7.770290035827682e-98,10000000.0,3.416720701725605e-98,1.1780451232345002e-45,6.761036941541845e-11,5.413206135220888e-12,1.1002756793123878e-14,1.2155665692115057e-13,2.112383067838308e-15,3.129216570278747e-17,6.679750981853101e-16,3.555589666195392e-19,7.93877289521578e-18,6.694493777659023e-22,2.2435324004245516e-23,1.9172654790988632e-21,4.410408158649582e-23,1.9918794576878236e-51,2.6734154639862487e-54,8.415287002345889e-57,4.803619257183112e-27,1.6602393024767205e-53,6.755198295489507e-55,2.824273939686253e-115,2.024208176178235e-117,8.391259448850944e-118,1.7477411043907845e-55,0.00042279226755540097,1.7499700936716957e-10,5.8122303794927884e-11,1.042644855297629e-12,1.5452744725324042e-14,6.308949554225576e-14,6.968959399156804e-13,1.0053867402887034e-14,1.4867926886358694e-16,5.1939497829174374e-114,1.9548990115763892e-138,7.800123423854274e-116,3.825180421913642e-140,8.902112748076968e-121,3.1823211918894114e-145,6.300691949848342e-103,1.54785928377338e-122,1.1674089643439665e-109
0.09,5e-08,43685.075821445535,6272.3726191719625,19.861930218775434,0.4592155577759961,2.103692529283328,7.915117670351146e-11,4.206569528005016e-06,2.1147899685518483e-11,1.6390913257622528e-12,6.302190237416731e-10,80999.99999999974,1.3802864026012428e-21,11999.999832789668,0.00015752282360640955,2.044576889573433e-16,2.350866452081519e-09,8.323861619370516e-12,1.3717397410571122e-11,3.700958036540283e-13,5.512801477152711e-15,10812.497577946582,4.3103620499784713e-07,26112.497578378963,7.122210436743273e-07,71999.99999998295,1.644885087742794e-08,9.51639449495387e-11,2.445878100402477e-10,40187.502420877914,100999.99999147291,7.901704763441475e-06,6.078220966151481e-07,1.2455124112675504e-09,1.3787669088399763e-08,2.4918071392781396e-10,3.693899460912363e-12,4.3721978777214784e-11,7.509580560836719e-12,2.0668867122214172e-09,40000.0,6.333761561025142e-14,1.1313569861610573e-12,40000.0,1.2590785722306175e-16,5.225112893559929e-18,21000000.0,4.449993709725873e-16,1.2596471498298868e-17,1.3406848568891608e-40,1.8713547696383207e-43,7.359782476955022e-46,40000.0,1.6748700170483785e-21,22100000.0,1.4358617818726294e-42,6.925580258253579e-44,3.257493600051836e-93,3.01153601368445e-95,10000000.0,1.8299371957156204e-95,2.223358367342826e-44,1.505138999582294e-10,1.355826974218496e-11,3.1011557180405764e-14,3.429833875425814e-13,6.710531056926925e-15,9.955607336731693e-17,1.9056364441442387e-15,1.1412814482059052e-18,2.269070344371887e-17,2.2143175508229824e-21,8.36440442979325e-23,7.134361173068275e-21,1.8521766261617018e-22,3.217289884109102e-50,4.433641399254742e-53,1.6209388420546109e-55,2.2761128299073735e-26,3.174499329151606e-52,1.4508914688028322e-53,1.5989720909752123e-112,1.450517854481703e-114,8.577033452061004e-115,4.354769961125462e-54,0.0005324643775970625,3.5176061280330254e-10,1.3068814872911228e-10,2.6364039163403146e-12,3.9133552384513875e-14,1.78320693521745e-13,1.9718539736784414e-12,3.201319194633275e-14,4.740213558464837e-16,8.927532555884532e-111,7.992083786997774e-135,1.7218428768927304e-112,1.9894353619290755e-136,2.261250467723853e-117,1.9956259943990017e-141,3.365623472887982e-100,1.5776085987708468e-119,8.635242820907081e-107
