t,mos,mosstar,mose1,mosstare2,mekstarmosstar,mekmosstar,mekstar,mekstarstar,mekstarmekpase,mekstarstarmekpase,mapkmekstarstar,mapkstarmekstarstar,mek,mapkstar,mapkstarstar,mapkstarmapkpase,mapkstarstarmapkpase,mapk
0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2
0.01,0.002994124536593973,8.326512601300906e-07,2.822299012665347e-06,5.549895360777781e-10,1.398144967168393e-12,2.2199567455500624e-06,1.2387822096473236e-06,1.91989759751678e-13,5.898288430612791e-10,5.4012477521878354e-17,2.1605023798199311e-13,5.308275913805703e-27,1.1999965406694095,4.729778497100661e-14,7.739040533157634e-28,5.219297500095019e-15,2.822148988472677e-29,1.199999999999732
0.02,0.0029896145381185747,1.7217754501971597e-06,2.9569910246724187e-06,1.4263172764472969e-09,2.512207731574974e-11,5.7052439672062194e-06,7.154061085196466e-06,4.9103966981020376e-12,4.887062196085088e-09,2.6915872879810428e-15,1.0766496890946402e-11,2.861205166318035e-23,1.1999871357670833,4.310672645392578e-12,8.013081632160319e-24,8.523464499969548e-13,1.2819462206334038e-24,1.1999999999840711
0.03,0.0029851817437056547,2.6083804339477565e-06,2.9543917906993393e-06,2.3132927160388203e-09,1.1376291455428588e-10,9.253057014006403e-06,1.8347815840334186e-05,3.041213955769731e-11,1.4318500625368215e-08,1.9902740684815044e-14,7.961422804345898e-11,2.2792805672138086e-21,1.1999723845848353,4.4805626882991936e-11,8.436449716877163e-22,1.0844185834564526e-11,1.6292639178691142e-22,1.1999999998647366
0.04,0.002980756452370399,3.4935295199211552e-06,2.9524614036944577e-06,3.198589594901354e-09,3.155922861505848e-10,1.279404252446589e-05,3.483581321492704e-05,1.0833776464463037e-10,2.9042942133455645e-08,7.853040540088357e-14,3.141499563486973e-10,5.831225230048764e-20,1.1999523403631596,2.2522536300082118e-10,3.256123121616352e-20,6.173422593283438e-11,8.080640268953674e-21,1.199999999398891
0.05,0.0029763398382290475,4.377064596553818e-06,2.948844618498008e-06,4.082542652643672e-09,6.783855246972395e-10,1.6329491628457602e-05,5.659703214400652e-05,2.9132286363581914e-10,4.904251765594592e-08,2.2637057052852192e-13,9.056241795105678e-10,5.78552065694877e-19,1.1999270225581504,7.886781028130558e-10,4.0312656717878664e-19,2.3576293900090663e-10,1.104845235469933e-19,1.1999999980699354
0.06,0.0029719315051669093,5.259042943265754e-06,2.9443026350107334e-06,4.965046335484657e-09,1.241177526898868e-09,1.9858943031796056e-05,8.361643786766855e-05,6.30384754406607e-10,7.430068059189638e-08,5.105682643654233e-13,2.0427393260699975e-09,2.922618613267434e-18,1.1998964464036073,2.0135774748949998e-09,2.202464975905544e-18,6.317242326330651e-10,6.249177862982935e-19,1.1999999953119596
0.07,0.002967530913842319,6.139469808945427e-06,2.939873886888631e-06,5.845974607246529e-09,2.058426125050065e-09,2.3381838062352383e-05,0.0001158747258916949,1.2061142145166338e-09,1.0479591262329644e-07,1.006233797750607e-12,4.026236065535756e-09,1.2393967402604154e-17,1.1998606313483493,4.381212062447559e-09,1.0171026539258852e-17,1.424554076382989e-09,2.9906924463767505e-18,1.1999999901679985
0.08,0.0029631381604746034,7.018341342610438e-06,2.9353504891766917e-06,6.725356353224596e-09,3.171722068847489e-09,2.6898250616695256e-05,0.00015336020996853053,2.0792182737152934e-09,1.405136471976209e-07,1.7698831276299997e-12,7.082656285759337e-09,4.265742042110151e-17,1.1998195886903988,8.27330658569472e-09,3.532203465657471e-17,2.7550993266124744e-09,1.0450017256442667e-17,1.1999999818889384
0.09,0.0029587531394035535,7.89566352101931e-06,2.930911410927266e-06,7.603171772461755e-09,4.618698720205891e-09,3.040806379563234e-05,0.00019605267148073186,3.3556020879932026e-09,1.814307209335196e-07,2.9031812507021698e-12,1.1619437524604297e-08,1.2950313221450578e-16,1.1997733382373583,1.4411777363240433e-08,1.1319617027728902e-16,4.892230468888818e-09,3.41410772979365e-17,1.1999999690765553
