t,Gs_alpha_GTP,Gs_beta_gamma,Gs_alpha_GDP,Gi_alpha_GTP,Gi_beta_gamma,Gi_alpha_GDP,Gs_alpha_GTP_1,Gs_beta_gamma_1,Gs_alpha_GDP_1,Gi_alpha_GTP_1,Gi_beta_gamma_1,Gi_alpha_GDP_1,cAMP_cav,cAMP_ecav,cAMP_cyt
0.0,0.041983438,0.042634499,0.000651061,0.012644961,0.013274751,0.00062979,0.083866891,0.084522918,0.000656025,0.001018705,0.001475253,0.000456548,0.11750433,1.092200547,0.992583576
0.01,0.0691678096864844,0.06982017474001752,0.0006523650535331203,0.012670249543868646,0.013300044083140073,0.0006297945392714317,0.11070627707382488,0.11136287195429379,0.0006565928804689112,0.001020742290605522,0.0014772927982304714,0.00045655050762495044,0.12251574450433722,1.092255527935212,0.9925836442840891
0.02,0.09612827916905772,0.09678301999016758,0.000654740821109871,0.012695336491109854,0.013325143660160686,0.0006298071690508339,0.1373245480105331,0.13798205282934115,0.0006575028188081286,0.0010227633278871182,0.0014793212503662265,0.0004565579224791095,0.13509628659334433,1.0923957198577665,0.9925840705190199
0.03,0.122866654946165,0.12352329645088408,0.00065664150471908,0.01272022344878673,0.013350050005079618,0.0006298265562928938,0.16372349035781553,0.16438170751813025,0.0006582151603148609,0.0010247682414638102,0.0014813383325040586,0.0004565700910402494,0.15264061251447011,1.0925965220842584,0.992585097890654
0.04,0.14938473148818837,0.1500425201086592,0.0006577886204707955,0.01274491201116359,0.013374763581227739,0.0006298515700641569,0.1899048766332604,0.1905635775337584,0.0006586989004981772,0.0010267571599226583,0.0014833440232374486,0.00045658686331479133,0.17354244358810944,1.0928430360383807,0.9925868880564886
0.05,0.17568428908373263,0.17634273811650192,0.0006584490327692527,0.01276940375979946,0.013399285011252537,0.0006298812514530855,0.2158704653466238,0.21652950370366922,0.0006590363570455712,0.0010287302108263295,0.0014853383035987326,0.00045660809277240424,0.1967911522643449,1.0931255477188981,0.9925895520528604
0.06,0.20176709389056963,0.20242595869691643,0.0006588648063466998,0.012793700263648754,0.013423615051544333,0.0006299147878955882,0.2416220011005975,0.2422812889170673,0.0006592858164699432,0.001030687520721235,0.0014873211570022187,0.00045663363628098473,0.22172424766146617,1.0934373664909343,0.9925931684954902
0.07,0.22763489807179077,0.22829405491804325,0.0006591568462524013,0.012817803079161243,0.01344775457044421,0.0006299514912829754,0.26716121470691995,0.2678206938330278,0.0006594771261080805,0.0010326292151456053,0.0014892925691881713,0.00045666335404256697,0.24788622946118652,1.0937736842815606,0.9925977942694894
0.08,0.25328943993062975,0.2539488167082398,0.0006593767776100126,0.012841713750381305,0.013471704529683291,0.0006299907793019959,0.2924898232996679,0.2931494566436924,0.0006596313440247972,0.0010345554186375007,0.0014912525281676563,0.000456697109530156,0.27494931261399747,1.0941309265389754,0.9926034709884719
0.09,0.27873244402986413,0.27939199444011875,0.000659550410254532,0.012865433809045704,0.013495465968585453,0.0006300321595397598,0.3176095304427125,0.31826928910158503,0.0006597566588727238,0.0010364662547426983,0.0014932010241683667,0.000456734769425668,0.3026681658527777,1.0945063601550498,0.992610229062286
0.1,0.3039656213044901,0.3046253120508503,0.000659690746360123,0.01288896477468251,0.013519039990615427,0.0006300752159329263,0.3425220262387304,0.3431818906624206,0.0006598624236902169,0.0010383618460226684,0.0014951380495809494,0.0004567762035582807,0.3308532210615672,1.0948978453177185,0.9926180903827099
0.11,0.3289906691758413,0.3296504761761083,0.0006598070002669075,0.01291230815471333,0.01354242775193459,0.0006301195972212699,0.36722898743969046,0.3678889412770992,0.0006599518374088521,0.001040242314062811,0.0014970635989055205,0.0004568212848427096,0.35935430530872525,1.0953036722424394,0.9926270701790312
0.12,0.3538092716388333,0.3544691768035866,0.0006599051647532388,0.01293546544453277,0.013565630451752759,0.0006301650072199994,0.3917320775331793,0.3923921106523402,0.0006600311191610228,0.0010421077794788586,0.0014989776687027918,0.0004568698892239333,0.3880502338996814,1.095722450935014,0.9926371783450992
0.13,0.37842309938869606,0.3790830886472531,0.0006599892585569654,0.012958438127623555,0.013588649323994433,0.0006302111963708862,0.41603294686692754,0.4166930537942453,0.0006601049273178971,0.001043958361926149,0.001500880257539703,0.00045692189561355456,0.41684177671274875,1.0961530331085816,0.9926484204467235
0.14,0.4028338099132087,0.4034938715054744,0.0006600615922657336,0.012981227675641005,0.013611485630336189,0.0006302579546951897,0.44013323273857996,0.4407933913453381,0.0006601566067583507,0.0010457941801064253,0.0015027713659410608,0.00045697718583463583,0.4456468557840371,1.096594457176344,0.9926607984836179
0.15,0.42704304724729,0.4277031723285884,0.0006601250812985734,0.013003835548197819,0.013634140653996051,0.0006303051057982376,0.4640345591566011,0.4646947701099498,0.0006602089533488789,0.0010476153517504632,0.0015046509963401442,0.0004570356445896811,0.47439708726184154,1.0970459080176445,0.9926743114946749
0.16,0.4510524434623747,0.45171262459166395,0.0006601811292894035,0.013026263194189175,0.013656615695767687,0.0006303525015785175,0.48773853830763236,0.4883987972266423,0.0006602569190100503,0.0010494219937249364,0.0015065191530309037,0.0004570971593059671,0.5030351482049558,1.0975066862864322,0.992688956045451
0.17,0.47486361673286953,0.4755238476540225,0.0006602309211532185,0.013048512050079671,0.013678912068127977,0.0006304000180483114,0.5112467686482753,0.5119070704406524,0.0006602997923771487,0.0010512142218942256,0.0015083758421127324,0.0004571616202185066,0.5315128708579981,1.0979761863794641,0.9927047266317943
0.18,0.4984781729434497,0.49913844838066657,0.0006602754372171876,0.013070583541332012,0.013701031092981633,0.0006304475516496283,0.5345608364924712,0.5352211742438309,0.0006603357513599892,0.0010529921512356392,0.0015102210714599538,0.00045722892022431397,0.5597897284737051,1.0984538791456169,0.9927216159921867
0.19,0.5218977039481524,0.5225580194623073,0.0006603155141551506,0.013092479080865159,0.013722974096925012,0.0006304950160598617,0.5576823142925175,0.5583426946047165,0.0006603783121993538,0.0010547558957150298,0.0015120548506552729,0.0004572989549402425,0.5878315991868912,1.0989392982813462,0.9927396154078602
0.2,0.5451237915045386,0.5457841433510237,0.0006603518464853281,0.013114200072549835,0.013744742411894734,0.0006305423393449003,0.5806127645228124,0.5812731678934985,0.0006604013706863313,0.0010565055685687226,0.0015138771909629038,0.0004573716223941799,0.6156097059663797,1.099432028636636,0.9927587149128234
0.21,0.5681580034772602,0.5688183883361038,0.0006603848588437672,0.013135747907840521,0.013766337369860437,0.0006305894620199212,0.6033537359336938,0.6040141680435716,0.0006604301098778373,0.0010582412820318368,0.0015156881052768069,0.0004574468232449695,0.6430999420336568,1.0999316993502706,0.9927789035022023
0.22,0.5910018941894344,0.5916623091870974,0.0006604149976633859,0.013157123966091566,0.013787760301097358,0.0006306363350058001,0.6259067638949998,0.6265672264298646,0.0006604605348651822,0.001059963147363762,0.0015174876080635527,0.0004575244606997896,0.6702821543717128,1.1004379765573564,0.9928001693105869
0.23,0.6136570081231089,0.6143174507839028,0.0006604426607943663,0.013178329617842545,0.013809012535724358,0.0006306829178818187,0.6482733740524133,0.6489338569366863,0.000660480884273436,0.0010616712751131416,0.001519275715347303,0.0004576044402341604,0.6971395467903175,1.1009505572194458,0.9928224997304912
0.24,0.636124875522459,0.6367853436298231,0.0006604681073645815,0.013199366220920673,0.013830095398667237,0.0006307291777465748,0.6704550779854928,0.6711155836447763,0.000660503659284164,0.0010633657748034702,0.0015210524446481431,0.0004576866698446715,0.7236582954052309,1.1014691657701412,0.9928458815620342
0.25,0.6584070152937389,0.6590675068990339,0.0006604916052954608,0.013220235123016821,0.013851010210859962,0.0006307750878431532,0.6924533760706746,0.6931139026408766,0.0006605245702025654,0.0010650467551408605,0.0015228178149371426,0.0004577710597962808,0.7498270777602537,1.1019935495267896,0.9928703011113766
0.26,0.6805049345134693,0.6811654478838257,0.0006605133703570196,0.01324093766125322,0.01387175828782596,0.0006308206265727531,0.7142697569963412,0.7149303028772448,0.0006605438809041035,0.0010667143239791554,0.0015245718465728213,0.00045785752259366435,0.7756367263425197,1.102523475591931,0.9928957442907006
0.27,0.7024201279165249,0.7030806615022474,0.0006605335857229781,0.013261475161727976,0.013892340938681004,0.0006308657769530411,0.7359056972568432,0.7365662614589451,0.0006605622021025155,0.0010683685882831714,0.0015263145613394395,0.0004579459730562664,0.8010800628168843,1.1030587294246486,0.9929221966759283
0.28,0.7241540784108417,0.724814630823871,0.0006605524130297973,0.01328184893997715,0.01391275946565063,0.0006309105256734925,0.7573626616609742,0.7580232427731413,0.0006605791121676354,0.001070009654165957,0.0015280459823555008,0.0004580363281895417,0.826151561009095,1.103599111914954,0.9929496435965844
0.29,0.7457082573850035,0.7463688273746925,0.0006605699896894288,0.013302060301251748,0.013933015163685026,0.0006309548624332886,0.778642103635923,0.7793027005551117,0.0006605949191892772,0.0010716376269111218,0.0015297661340105892,0.00045812850709946515,0.8508470995871494,1.1041444372521487,0.9929780702017593
0.3,0.7670841244989842,0.7677447109346243,0.0006605864356405021,0.013322110540332935,0.013953109319922503,0.0006309987795895832,0.7997454650205075,0.800406076877881,0.0006606098573740877,0.0010732526109578954,0.0015314750419633556,0.0004582224310054581,0.8751638342201101,1.104694531893052,0.9930074615015496
0.31,0.7882831278134844,0.7889437296702013,0.000660601856717532,0.013342000941649718,0.013973043213351981,0.0006310422717022739,0.8206741761928986,0.8213348020912055,0.0006606238983073037,0.0010748547099106273,0.0015331727330993542,0.00045831802318872447,0.8991000291774187,1.1052492331924137,0.993037802415919
0.32,0.8093067039281324,0.809967320275454,0.0006606163473220728,0.013361732779404613,0.013992818114540211,0.0006310853351356085,0.841429656207202,0.8420902949468586,0.0006606367396570425,0.0010764440265488946,0.0015348592354872844,0.00045841520893838753,0.9226549023678591,1.1058083881481329,0.993069077819046
0.33,0.8301562780533107,0.8308169080343923,0.0006606299810821869,0.013381307317639672,0.014012435285447208,0.0006311279678075474,0.8620133128644012,0.862673965096263,0.0006606502318622414,0.0010780206628328284,0.0015365345783482458,0.0004585139155154154,0.9458285213836451,1.1063718525716018,0.9931012725691957
0.34,0.8508332641139119,0.8514939069742821,0.0006606428603705394,0.013400725810331497,0.014031895979199668,0.0006311701688681857,0.8824265428149272,0.8830872025382609,0.0006606577233336053,0.0010795847199106972,0.0015381987920137154,0.00045861407210301587,0.9686216711003458,1.1069394900395344,0.9931343715471029
0.35000000000000003,0.8713390648255367,0.8719997198144753,0.0006606549889392997,0.013419989501461936,0.014051201439963202,0.0006312119385012769,0.9026707316328072,0.9033314065291513,0.0006606728963458233,0.0010811362981249018,0.0015398519078936791,0.00045871560976877546,0.9910357680516793,1.1075111712286256,0.993168359681104
