t,M2T2,M2C1,MT1T2,MT1T2M2proMT1,MT1C1,M2,MT1,M2_p,T2,C1_D,C1,MT1_cat,MT1_t,MT1T2M2pro,MT1T2_star,M2T2_star
0.0,7.2e-09,8.5e-06,1.39e-09,5.6e-10,2.9e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,4.82505275399305e-09,8.499439018941119e-06,1.3873909750487513e-09,5.598829722317851e-10,2.871087562218945e-06,9.417992584670997e-10,2.891514957815963e-08,1.1842128458531907e-19,3.833152363606494e-10,4.3933290483160457e-10,2.903408593510295e-08,1.425573418454001e-14,1.425573418454001e-14,5.039352301048658e-15,1.1198829749265916e-13,1.9942410347159686e-09
0.02,3.251625224739933e-09,8.49887807619786e-06,1.3853222045348188e-09,5.597659689284405e-10,2.842463446460127e-06,1.7550450327112272e-09,5.754139144482615e-08,4.736622975352544e-19,6.375750733208345e-10,8.780737207314404e-10,5.778040362127982e-08,7.392205805371543e-14,7.392205805371543e-14,1.0077406111576025e-14,2.2395319178573457e-13,3.3154774978780748e-09
0.03,2.205146450575673e-09,8.498317172907347e-06,1.38413464734144e-09,5.596489900934838e-10,2.8141247627619914e-06,2.4837371855869617e-09,8.588122884819744e-08,1.0656607087901133e-18,8.06439551973651e-10,1.3162281637609898e-09,8.624183616689805e-08,2.2475344262863086e-13,2.2475344262863086e-13,1.51141530308417e-14,3.3589468782478373e-13,4.194279351174895e-09
0.04,1.4971207106954295e-09,8.497756310022288e-06,1.3839641743923452e-09,5.595320357303133e-10,2.7860686314956732e-06,3.158088927805388e-09,1.1393736094031614e-07,1.8943533424331625e-18,9.199869648076139e-10,1.7538019289257447e-09,1.144212565531107e-07,5.113557828417847e-13,5.113557828417847e-13,2.0149584743157984e-14,4.4781279059023305e-13,4.788928151998963e-09
0.05,1.014444691566253e-09,8.497195488473169e-06,1.3848670785125612e-09,5.594151058424126e-10,2.7582920024065884e-06,3.796230591002839e-09,1.4171273549197763e-07,2.959672056117897e-18,9.962922811166042e-10,2.190801048004882e-09,1.4232170807223534e-07,9.799200393792218e-13,9.799200393792218e-13,2.5183692497819387e-14,5.597075054176677e-13,5.194395951764253e-09
0.06,6.947287345442501e-10,8.49663470893953e-06,1.3868409900182151e-09,5.592982004323945e-10,2.730792509815944e-06,4.4081645164489555e-09,1.6920968552201207e-07,4.2615631348968165e-18,1.045360891387995e-09,2.627230198543768e-09,1.699455510459808e-07,1.6654758556815465e-12,1.6654758556815465e-12,3.021646955487143e-14,6.715788364875934e-13,5.463069388311101e-09
0.07,4.781818884466084e-10,8.496073972200686e-06,1.3898573637267423e-09,5.591813195032823e-10,2.703567357306207e-06,5.003477380905796e-09,1.964309951722518e-07,5.7999624368858126e-18,1.0768087968781537e-09,3.0630949093922284e-09,1.9729557558371377e-07,2.608844112090823e-12,2.608844112090823e-12,3.524790798195324e-14,7.834267887733584e-13,5.645151956748456e-09
0.08,3.281543597665987e-10,8.495513279071317e-06,1.3938701511625388e-09,5.590644630581656e-10,2.6766135618176624e-06,5.588046132477941e-09,2.2337965119011158e-07,7.574800158363345e-18,1.0965598088416334e-09,3.4984010776584813e-09,2.243747580333607e-07,3.85238558083419e-12,3.85238558083419e-12,4.0277999386436654e-14,8.952513676479696e-13,5.771415687804028e-09
0.09,2.253442672071221e-10,8.494952630219206e-06,1.3988420433952717e-09,5.589476310994892e-10,2.649928671321812e-06,6.164966039348594e-09,2.500581088993258e-07,9.586017955744484e-18,1.1077471721692686e-09,3.933153550159946e-09,2.511855449088211e-07,5.430113954023231e-12,5.430113954023231e-12,4.530673691756994e-14,1.0070525775753458e-12,5.858066526814354e-09
0.1,1.5479528961767708e-10,8.494392026352668e-06,1.4047335084052298e-09,5.588308236297898e-10,2.6235100795062964e-06,6.736635618694977e-09,2.7646897852208653e-07,1.1833553170152028e-17,1.1128096443695535e-09,4.367357478342027e-09,2.777305366626926e-07,7.377651416344492e-12,7.377651416344492e-12,5.0334113325315714e-14,1.1188304233318922e-12,5.917661569441091e-09
0.11,1.0606177087514111e-10,8.493831468256505e-06,1.4114996511706097e-09,5.587140406517648e-10,2.5973548836559447e-06,7.3047302127922e-09,3.0261516905603524e-07,1.431733470893853e-17,1.113468247535364e-09,4.801018598824852e-09,3.040126294887243e-07,9.733610515721303e-12,9.733610515721303e-12,5.536012059916318e-14,1.2305849103014032e-12,5.958970344736219e-09
0.12,7.287979307532388e-11,8.49327095660308e-06,1.419101071391231e-09,5.585972821676314e-10,2.5714605837627224e-06,7.870254619637786e-09,3.2849918752505145e-07,1.70373002375536e-17,1.11076785232156e-09,5.2341418518092934e-09,3.3003431778238786e-07,1.2530375705155873e-11,1.2530375705155873e-11,6.038475189338824e-14,1.3423160431750281e-12,5.987251300249185e-09
