t,EGF,R,Ra,R2,RP,R_PL,R_PLP,R_G,R_G_S,R_Sh,R_ShP,R_Sh_G,R_Sh_G_S,G_S,ShP,Sh_G,Sh_G_S,PLC_gamma,PLC_gamma_P,PLC_gamma_P_I,Grb,Shc,SOS
0.0,680.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,85.0,150.0,34.0
0.01,677.9842446776104,97.98424467761019,2.0154829529335214,0.00013584932667554155,3.22257341568471e-07,4.123890621315763e-09,7.013922891624166e-12,1.671445653591275e-10,1.0380259502826345e-13,8.756488620164884e-09,8.943924988260334e-11,3.330744426641965e-14,1.74377726170583e-17,0.0028898063814220684,3.921035641786504e-14,2.5423424294134363e-17,3.4122028054699097e-20,104.99999999586913,3.0687416754238644e-15,3.904414101809282e-18,84.9971101934513,149.99999999115403,33.99711019361848
0.02,676.0160538877668,96.01605388776669,3.9818070044730542,0.0010643643575248519,4.795839451370252e-06,1.2336130800195728e-07,4.196289116908387e-10,5.006668057780806e-09,6.217341595573998e-12,2.595780077232041e-07,5.307349230500109e-09,3.9577938620601734e-12,4.185824672694965e-15,0.005779225570966148,4.6622695551503365e-12,6.112150096783492e-15,1.6909523992770415e-17,104.99999987621874,3.6719783589360864e-13,9.456434570466833e-16,84.9942207694122,149.99999973510606,33.99422077442282
0.03,674.0940769070478,94.09407690704761,5.898837508331486,0.003517345736706398,2.2630372084732862e-05,8.81310881639387e-07,4.55594915546084e-09,3.581839349091194e-08,6.755742287846842e-11,1.8372500814681545e-06,5.7133681755716544e-08,6.499642526178941e-11,1.0440218180253164e-13,0.008668257633407719,7.66170884721163e-11,1.5238168452740244e-13,6.301731679662152e-16,104.9999991141271,6.073156755344556e-12,2.374164164430931e-14,84.99133170641541,149.99999810547442,33.99133174229894
0.04,672.2170098815948,92.21700988159452,7.766509330794541,0.00816240778404744,6.680007050532404e-05,3.4960802771776755e-06,2.4130327238743846e-08,1.4228284265138548e-07,3.581712661331093e-10,7.22247070079939e-06,3.001737082963917e-07,4.5390457655668563e-10,9.625079176225313e-13,0.011556902623926002,5.353957345062638e-10,1.4053451816854364e-12,7.608032023891599e-15,104.99999647974651,4.2693233919385526e-11,2.2039115214871896e-13,84.9884429542788,149.99999247636396,33.98844309701693
0.05,670.3835937886383,90.38359378863811,9.584825859768802,0.015605425223915564,0.0001524962552774184,1.0067588847074972e-05,8.732279186556272e-08,4.1030175988263257e-07,1.297425911129565e-09,2.0608308991745063e-05,1.077451707856596e-06,2.040390284440333e-09,5.4110518250013105e-12,0.014445160578990238,2.408283520143776e-09,7.906552989894107e-12,5.383636802843779e-14,104.99998984489392,1.9322284250705107e-10,1.2487905659895057e-12,84.98555442576809,149.9999783097773,33.98555483811812
0.06,668.5926126120343,88.59261261203393,11.353857667053077,0.02639283064078036,0.00029613295617221975,2.365795661857228e-05,2.4798920805140804e-07,9.655480335815194e-07,3.687994119382797e-09,4.7979670414708715e-05,3.0350711290857068e-06,6.91407568544219e-09,2.204540856398065e-11,0.017333031506084638,8.166105287145951e-09,3.221997770732946e-11,2.65010875999301e-13,104.99997609338986,6.592206467742892e-10,5.1255530128873e-12,84.9826659922893,149.9999489701238,33.98266696478361
0.07,666.8428915227347,86.84289152273436,13.073740827942991,0.041014038753226255,0.000514500980337854,4.833801896648937e-05,5.953518528258078e-07,1.975659760103692e-06,8.862444263131192e-09,9.712090289442747e-05,7.226770192641787e-06,1.9289704719717795e-08,7.19166657916881e-11,0.020220515372250007,2.2797877075750488e-08,1.0510397205088718e-10,1.0121459534834486e-12,104.99995106476071,1.8516759932931707e-09,1.6838185156241276e-11,84.97977748063784,149.99989561006134,33.97977947569238
0.08,665.1332951804966,85.13329518049632,14.744674951449351,0.059903843825152035,0.0008242054342257918,8.917938120576458e-05,1.263945439566774e-06,3.6502384755813244e-06,1.883438114114341e-08,0.0001775091676122988,1.5216342960605798e-05,4.6658299615272126e-08,1.9938625442364618e-10,0.02310761209217028,5.518088111955489e-08,2.91386399782865e-10,3.2168581747587155e-12,104.99990955211699,4.5093869543692285e-09,4.7010359040853114e-11,84.9768886716827,149.9998071721563,33.97689236887085
0.09,663.4627261207014,83.46272612070105,16.3669209501176,0.08344483610379018,0.0012412710059140164,0.00015221541173684273,2.4433471545901276e-06,6.239583385014502e-06,3.6447443858047235e-08,0.00030014889571641605,2.9172134885901928e-05,1.011725350897514e-07,4.880856199226601e-10,0.02599432151593047,1.1973373868452902e-07,7.133068554540532e-10,8.884944889725447e-12,104.99984533128037,9.844884700621316e-09,1.1588839261724693e-10,84.97399930007045,149.9996704568529,33.97400564153966
