t,Pfr,Pr,Xi,Xa,prepreS,preS,Ya,S,V
0.0,10.0,0.0,6.0,0.0,200.0,0.0,0.9,0.0,50.0
0.01,9.990004996950523,0.0,6.0,0.0,200.0,0.0,0.8991004497255468,2.388053684003174e-06,50.0
0.02,9.98001998409882,0.0,6.0,0.0,200.0,0.0,0.8982017985688935,4.752341036174993e-06,50.0
0.03,9.970044951835314,0.0,6.0,0.0,200.0,0.0,0.897304045665178,7.093089809426441e-06,50.0
0.04,9.960079889090018,0.0,6.0,0.0,200.0,0.0,0.8964071900181014,9.410558136309566e-06,50.0
0.05,9.950124790070003,0.0,6.0,0.0,200.0,0.0,0.8955112311063,1.1704856825661242e-05,50.0
0.06,9.940179643716922,0.0,6.0,0.0,200.0,0.0,0.8946161679345227,1.3976233485049924e-05,50.0
0.07,9.930244439582436,0.0,6.0,0.0,200.0,0.0,0.893721999562419,1.6224928180796592e-05,49.99999999999999
0.08,9.920319167218208,0.0,6.0,0.0,200.0,0.0,0.8928287250496385,1.845118097922222e-05,49.99999999999999
0.09,9.910403816175899,0.0,6.0,0.0,200.0,0.0,0.8919363434558307,2.0655231946647786e-05,49.999999999999986
0.1,9.900498376007173,0.0,6.0,0.0,200.0,0.0,0.8910448538406454,2.2837321149394267e-05,49.99999999999998
0.11,9.89060283626369,0.0,6.0,0.0,200.0,0.0,0.890154255263732,2.4997688653782645e-05,49.999999999999964
0.12,9.880717186497115,0.0,6.0,0.0,200.0,0.0,0.8892645467847402,2.7136574526133894e-05,49.99999999999996
0.13,9.870841416259108,0.0,6.0,0.0,200.0,0.0,0.8883757274633195,2.9254218832768998e-05,49.99999999999994
0.14,9.86097551510133,0.0,6.0,0.0,200.0,0.0,0.8874877963591196,3.135086164000893e-05,49.99999999999993
0.15,9.851119472575446,0.0,6.0,0.0,200.0,0.0,0.8866007525317899,3.342674301417466e-05,49.99999999999991
0.16,9.841273278264891,0.0,6.0,0.0,200.0,0.0,0.8857145950438399,3.548210118513038e-05,49.99999999999989
0.17,9.831436924136414,0.0,6.0,0.0,200.0,0.0,0.8848293231722769,3.7517036637851986e-05,49.999999999999865
0.18,9.821610401679525,0.0,6.0,0.0,200.0,0.0,0.8839449361511569,3.9531677439539535e-05,49.99999999999984
0.19,9.811793701052002,0.0,6.0,0.0,200.0,0.0,0.8830614330946798,4.152622862573675e-05,49.99999999999981
0.2,9.80198681241162,0.0,6.0,0.0,200.0,0.0,0.8821788131170455,4.350089523198733e-05,49.99999999999977
0.21,9.79218972591616,0.0,6.0,0.0,200.0,0.0,0.8812970753324539,4.5455882293834974e-05,49.99999999999973
0.22,9.782402431723394,0.0,6.0,0.0,200.0,0.0,0.880416218855105,4.73913948468234e-05,49.99999999999968
0.23,9.772624919991102,0.0,6.0,0.0,200.0,0.0,0.8795362427991988,4.9307637926496316e-05,49.99999999999962
0.24,9.762857180877061,0.0,6.0,0.0,200.0,0.0,0.8786571462789351,5.120481656839742e-05,49.99999999999957
0.25,9.75309920453905,0.0,6.0,0.0,200.0,0.0,0.877778928408514,5.3083135808070423e-05,49.999999999999496
0.26,9.74335098113484,0.0,6.0,0.0,200.0,0.0,0.8769015883021353,5.4942800681059035e-05,49.999999999999424
0.27,9.733612500822215,0.0,6.0,0.0,200.0,0.0,0.8760251250739989,5.678401622290696e-05,49.999999999999346
0.28,9.723883753758946,0.0,6.0,0.0,200.0,0.0,0.8751495378383047,5.8606987469157896e-05,49.999999999999254
0.29,9.714164730428209,0.0,6.0,0.0,200.0,0.0,0.8742748257385384,6.041185455702225e-05,49.99999999999916
0.3,9.70445542149652,0.0,6.0,0.0,200.0,0.0,0.8734009879346865,6.219872105645713e-05,49.999999999999055
0.31,9.694755817242772,0.0,6.0,0.0,200.0,0.0,0.8725280235518491,6.396776784686876e-05,49.99999999999894
0.32,9.685065907943747,0.0,6.0,0.0,200.0,0.0,0.8716559317149368,6.571917622913575e-05,49.99999999999881
0.33,9.675385683876224,0.0,6.0,0.0,200.0,0.0,0.8707847115488597,6.74531275041367e-05,49.99999999999868
0.34,9.665715135316983,0.0,6.0,0.0,200.0,0.0,0.8699143621785281,6.916980297275021e-05,49.999999999998536
0.35000000000000003,9.656054252542807,0.0,6.0,0.0,200.0,0.0,0.8690448827288524,7.08693839358549e-05,49.99999999999838
0.36,9.646403025830477,0.0,6.0,0.0,200.0,0.0,0.8681762723247426,7.255205169432935e-05,49.99999999999822
0.37,9.636761445456772,0.0,6.0,0.0,200.0,0.0,0.8673085300911091,7.42179875490522e-05,49.99999999999804
0.38,9.627129501698471,0.0,6.0,0.0,200.0,0.0,0.8664416551528621,7.586737280090203e-05,49.99999999999785
0.39,9.617507184832359,0.0,6.0,0.0,200.0,0.0,0.8655756466349119,7.750038875075746e-05,49.99999999999764
0.4,9.607894485135212,0.0,6.0,0.0,200.0,0.0,0.8647105036621687,7.911721669949709e-05,49.99999999999743
0.41000000000000003,9.598291400092226,0.0,6.0,0.0,200.0,0.0,0.8638462260083,8.071677413573175e-05,49.99999999999721
0.42,9.58869790438931,0.0,6.0,0.0,200.0,0.0,0.8629828113950375,8.23019758242888e-05,49.999999999996966
0.43,9.579113998140164,0.0,6.0,0.0,200.0,0.0,0.8621202598326143,8.387127841152383e-05,49.99999999999671
0.44,9.569539671642978,0.0,6.0,0.0,200.0,0.0,0.8612585704478677,8.542485944442004e-05,49.99999999999644
0.45,9.559974915205608,0.0,6.0,0.0,200.0,0.0,0.8603977423685042,8.696289477635964e-05,49.999999999996156
0.46,9.55041971914556,0.0,6.0,0.0,200.0,0.0,0.8595377747231,8.848555856712376e-05,49.99999999999586
0.47000000000000003,9.54087407379001,0.0,6.0,0.0,200.0,0.0,0.8586786666411004,8.999302328289252e-05,49.99999999999555
0.48,9.531337969475784,0.0,6.0,0.0,200.0,0.0,0.8578204172528202,9.148545969624496e-05,49.999999999995225
0.49,9.521811396549378,0.0,6.0,0.0,200.0,0.0,0.8569630256894436,9.296303688615912e-05,49.99999999999488
0.5,9.51229434536694,0.0,6.0,0.0,200.0,0.0,0.8561064910830241,9.442592223801197e-05,49.99999999999452
0.51,9.502786806294278,0.0,6.0,0.0,200.0,0.0,0.8552508125664846,9.587428144357946e-05,49.99999999999415
0.52,9.493288769706867,0.0,6.0,0.0,200.0,0.0,0.8543959892736175,9.730827850103647e-05,49.99999999999376
0.53,9.483800226066856,0.0,6.0,0.0,200.0,0.0,0.8535420203460166,9.872806443412428e-05,49.999999999993356
0.54,9.474321166244874,0.0,6.0,0.0,200.0,0.0,0.8526889049620381,0.00010013373016375963,49.99999999999294
0.55,9.464851580796445,0.0,6.0,0.0,200.0,0.0,0.8518366422716795,0.00010152541248063037,49.9999999999925
0.56,9.45539146022214,0.0,6.0,0.0,200.0,0.0,0.8509852314199922,0.00010290325594553723,49.99999999999204
0.5700000000000001,9.445940795035797,0.0,6.0,0.0,200.0,0.0,0.8501346715532212,0.00010426740289747609,49.999999999991566
0.58,9.436499575764518,0.0,6.0,0.0,200.0,0.0,0.8492849618188061,0.00010561799345363811,49.999999999991076
0.59,9.427067792948673,0.0,6.0,0.0,200.0,0.0,0.8484361013653801,0.00010695516550940961,49.99999999999057
0.6,9.417645437141896,0.0,6.0,0.0,200.0,0.0,0.8475880893427702,0.00010827905473837214,49.999999999990045
0.61,9.408232498911092,0.0,6.0,0.0,200.0,0.0,0.8467409249019977,0.00010958979459230245,49.9999999999895
0.62,9.398828968836426,0.0,6.0,0.0,200.0,0.0,0.8458946071952778,0.00011088751630117247,49.99999999998894
0.63,9.389434837511333,0.0,6.0,0.0,200.0,0.0,0.8450491353760194,0.00011217234887314936,49.99999999998836
0.64,9.380050095542517,0.0,6.0,0.0,200.0,0.0,0.8442045085988259,0.00011344441909459549,49.999999999987764
0.65,9.37067473354994,0.0,6.0,0.0,200.0,0.0,0.8433607260194941,0.00011470385153006842,49.999999999987146
