t,y1,y2,y3,y5,y6,y4
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.009086365255026308,5.832667352930418e-10,1.2868825968537385e-08,9.349257784687772e-16,3.620870514861294e-05
0.02,0.0,0.01816364848185378,8.004981021754356e-09,9.582961559023083e-08,7.902805798407758e-14,0.0001442977060135428
0.03,0.0,0.02723185895367656,3.754932187754207e-08,3.209408722500066e-07,6.179678418390421e-13,0.00032338930539239376
0.04,0.0,0.03629100585637151,1.1564520993080619e-07,7.580219498304454e-07,3.1481825926561398e-12,0.0005726235608036728
0.05,0.0,0.04534109814009535,2.782771075943722e-07,1.4736947943387631e-06,1.1418775267410685e-11,0.0008911713208831383
0.06,0.0,0.05438214485529501,5.708137313434689e-07,2.5341041010617377e-06,3.271386444190297e-11,0.0012782019648452723
0.07,0.0,0.06341415504304959,1.0481868588722495e-06,4.004030589998953e-06,8.05297064086903e-11,0.0017328943324880783
0.08,0.0,0.07243713773545357,1.7740837922264743e-06,5.947019026702252e-06,1.788591188900855e-10,0.002254436197415402
0.09,0.0,0.08145110195570927,2.8212985711022576e-06,8.425314664166334e-06,3.577399846706625e-10,0.0028420243208679796
0.1,0.0,0.09045605671751913,4.271568341006268e-06,1.1499911285781813e-05,6.624067542732268e-10,0.0034948647988848032
0.11,0.0,0.09945201102654429,6.213126509335492e-06,1.5230930255537122e-05,1.1628424211298449e-09,0.004212171264660077
0.12,0.0,0.10843897387678977,8.745936713986315e-06,1.9676825536657137e-05,1.9394160290215853e-09,0.004993169062324027
0.13,0.0,0.11741695425547763,1.1974503462684323e-05,2.489547903361565e-05,3.1095001732783784e-09,0.005837089568596255
0.14,0.0,0.12638596114128656,1.6010485484586222e-05,3.0943802026202096e-05,4.816962187887031e-09,0.006743172250258259
0.15,0.0,0.13534600350320825,2.0974071700858486e-05,3.7877534230070016e-05,7.232376109978226e-09,0.007710665875593011
0.16,0.0,0.14429709030130589,2.6991583636209656e-05,4.575164462728656e-05,1.0585253041816845e-08,0.008738827132412832
0.17,0.0,0.15323923048664562,3.4197179567432346e-05,5.4620026931780565e-05,1.5127824226898403e-08,0.009826921334883207
0.18,0.0,0.16217243300139256,4.2730549786356244e-05,6.453591380165363e-05,2.1191072067822336e-08,0.010974221446057832
0.19,0.0,0.1710967067787394,5.273861636709885e-05,7.555157094997367e-05,2.9142197268431147e-08,0.01218000880246356
0.2,0.0,0.1800120607429528,6.437445736489254e-05,8.771849181967445e-05,3.941336833985836e-08,0.01344357264615108
0.21,0.0,0.1889185038094489,7.779582921912992e-05,0.00010108767433164489,5.255783738630897e-08,0.014764209400215098
0.22,0.0,0.1978160448846832,9.316739006679574e-05,0.0001157092071442091,6.917025763648443e-08,0.016141223735532423
0.23,0.0,0.2067046928661756,0.00011066015368611672,0.00013163236975591235,8.990356579627354e-08,0.017573928321982263
0.24,0.0,0.21558445664253922,0.00013045087019943326,0.00014890574619778294,1.1548841822531738e-07,0.019061643544875363
0.25,0.0,0.2244553450934914,0.00015272177432363467,0.00016757727052890345,1.4673981114187445e-07,0.020603697395977207
0.26,0.0,0.23331736708986453,0.0001776603320880997,0.00018769427275658608,1.8456402789443837e-07,0.022199425362601104
0.27,0.0,0.24217053149368378,0.00020545857668529159,0.0002093036385946278,2.3005327403438646e-07,0.023848169799252056
0.28,0.0,0.25101484715814354,0.0002363130697490772,0.0002324517959357309,2.8444683285474103e-07,0.025549280086938776
0.29,0.0,0.2598503229275666,0.00027042496570103716,0.00025718467276710996,3.4907022403460845e-07,0.02730211292229021
0.3,0.0,0.26867696763745186,0.00030799953546368857,0.00028354780487807694,4.253897448449768e-07,0.02910603192579498
0.31,0.0,0.2774947901144862,0.0003492459052579471,0.00031158638397472515,5.150211078181724e-07,0.03096040752091935
0.32,0.0,0.28630379917655696,0.00039437679540059065,0.0003413453057946139,6.197380784173188e-07,0.03286461681322527
0.33,0.0,0.29510400363271466,0.00044361010972665153,0.00037286890874940054,7.414706285563414e-07,0.03481804406582784
0.34,0.0,0.3038954122830897,0.0004971722248103324,0.00040620042831747145,8.822934604313853e-07,0.03682008172259041
0.35000000000000003,0.0,0.3126780339190765,0.0005552913364047677,0.0004413831141251287,1.044470858137486e-06,0.03887012822738971
0.36,0.0,0.32145187732327823,0.0006181997231319092,0.00047845985583436695,1.2304510213323383e-06,0.040967588716847136
0.37,0.0,0.33021695126950923,0.0006861338513069878,0.0005174731700484373,1.4428726292917706e-06,0.04311187501739416
0.38,0.0,0.3389732645228276,0.0007593335582922205,0.000558465345385239,1.6845891798629455e-06,0.045302405320417564
0.39,0.0,0.3477208258395783,0.0008380409472671912,0.0006014786373929636,1.9586998434046322e-06,0.047538603754699336
0.4,0.0,0.3564596439673272,0.0009225024362679643,0.0006465549186807951,2.2685091067237466e-06,0.04981990108144547
0.41000000000000003,0.0,0.36518972764489965,0.001012967779727237,0.0006937358519396961,2.6175547650920783e-06,0.05214573431184255
0.42,0.0,0.3739110856023912,0.001109689890255984,0.0007430629247506468,3.009617848205698e-06,0.05451554660941646
0.43,0.0,0.3826237265611653,0.0012129253993333425,0.000794577366823265,3.4487363270942344e-06,0.05692878740071406
0.44,0.0,0.3913276592338508,0.0013229351779001156,0.0008483200735834437,3.939218553107329e-06,0.05938491247484789
0.45,0.0,0.4000228923243807,0.0014399825607360243,0.0009043318933529808,4.485641353652482e-06,0.06188338344525855
0.46,0.0,0.40870943452798786,0.0015643339560112446,0.0009626535368512506,5.092864065596442e-06,0.06442366787396792
0.47000000000000003,0.0,0.4173872945312139,0.0016962587772638437,0.0010233255939866453,5.766038041136624e-06,0.06700523920763359
0.48,0.0,0.4260564810119191,0.0018360296234340998,0.0010863885163400343,6.5106232119933846e-06,0.06962757673929673
0.49,0.0,0.434717002639292,0.001983922342528176,0.0011518826159009246,7.332401513844025e-06,0.07229016555670453
0.5,0.0,0.4433688680738551,0.0021402154447093,0.0012198481546646643,8.237472757873718e-06,0.07499249641557701
0.51,0.0,0.4520120859674746,0.002305190262026645,0.0012903253299518275,9.232270647113349e-06,0.07773406569901228
0.52,0.0,0.46064666496336965,0.002479130882476782,0.0013633542912450352,1.032357270411853e-05,0.08051437535085701
0.53,0.0,0.46927261369611983,0.00266232421760138,0.0014389751370536444,1.1518518954715639e-05,0.08333293286769383
0.54,0.0,0.477889940791674,0.0028550599660116657,0.0015172279273244506,1.2824623863727007e-05,0.08618925124578329
0.55,0.0,0.4864986548673601,0.00305763034401595,0.0015981527306415336,1.4249773169855778e-05,0.08908284882720185
0.56,0.0,0.495098764531893,0.0032703301234788154,0.0016817896255331565,1.5802240641212044e-05,0.09201324927895786
0.5700000000000001,0.0,0.5036902783853836,0.0034934565714573687,0.001768178716450821,1.7490698461676344e-05,0.09497998152959163
0.58,0.0,0.5122732050193463,0.0037273096952929108,0.001857360105093974,1.932423411975274e-05,0.0979825797728969
0.59,0.0,0.5208475530167078,0.003972192167124978,0.0019493739086006295,2.1312360461319154e-05,0.10102058340114096
0.6,0.0,0.5294133309518172,0.004228408923242555,0.002044260325274208,2.346501880849951e-05,0.1040935368667745
0.61,0.0,0.537970547390453,0.004496267300597281,0.00214205962178156,2.579259353315396e-05,0.10720098966227459
0.62,0.0,0.5465192108898331,0.004776076992642327,0.0022428121467619605,2.830592279021364e-05,0.11034249626034483
0.63,0.0,0.5550593299986208,0.005068150286948566,0.0023465583024452454,3.1016319877102185e-05,0.11351761614950058
0.64,0.0,0.5635909132569353,0.005372801876187091,0.002453338579847512,3.3935578504401534e-05,0.11672591372523336
0.65,0.0,0.5721139691963605,0.005690348582087081,0.002563193606935368,3.707597478473626e-05,0.11996695815171647
0.66,0.0,0.5806285063399534,0.006021109472101299,0.0026761641382683134,4.045028403103149e-05,0.12324032335644695
0.67,0.0,0.5891345332022524,0.006365405820290189,0.00279229106785589,4.407179168010796e-05,0.12654558797215354
0.68,0.0,0.5976320582892861,0.006723561068205978,0.0029116154420148325,4.795430421627711e-05,0.12988233527870469
0.6900000000000001,0.0,0.6061210900985814,0.007095900880163531,0.003034178458074218,5.211216345918809e-05,0.13325015317734792
0.7000000000000001,0.0,0.6146016371191685,0.007482753834819431,0.0031600213676749216,5.656028353177103e-05,0.1366486343829114
0.71,0.0,0.6230737078315944,0.007884450388630844,0.0032891856391770056,6.131412623234931e-05,0.14007737602405196
0.72,0.0,0.631537310707931,0.008301323023275207,0.0034217129425484338,6.638971860696921e-05,0.1435359796490599
0.73,0.0,0.6399924542117819,0.008733706345612628,0.0035576451413693168,7.180366883019997e-05,0.1470240512154065
0.74,0.0,0.6484391467982918,0.009181937060960575,0.003697024303831278,7.757317757036894e-05,0.15054120103589666
0.75,0.0,0.6568773969141556,0.009646353946368516,0.0038398927137368085,8.371604935479659e-05,0.15408704372482115
0.76,0.0,0.6653072129976237,0.010127298086102523,0.003986292841139236,9.025071469965292e-05,0.15766119824900146
0.77,0.0,0.673728603478511,0.010625113065078613,0.004136267319455233,9.71962505134656e-05,0.16126328796201295
0.78,0.0,0.6821415767782085,0.011140144228454645,0.004289859066314308,0.00010457236216321779,0.16489294026484036
0.79,0.0,0.6905461413096903,0.01167273898460707,0.0044471112438103835,0.00011239940837498994,0.1685497866839218
0.8,0.0,0.6989423054775222,0.012223246798127163,0.0046080672664656,0.0001206984134088342,0.1722334628251904
0.81,0.0,0.7073300776778699,0.012792019172359056,0.0047727708108038554,0.00012949107880430184,0.17594360832393227
0.8200000000000001,0.0,0.7157094662985075,0.013379409642885483,0.004941265823153659,0.00013879979569667608,0.17967986680000575
0.8300000000000001,0.0,0.724080479718823,0.013985774172521434,0.005113596462511113,0.00014864767806376276,0.18344188600968964
0.84,0.0,0.7324431263098288,0.01461147076235948,0.005289807170198664,0.00015905855510554823,0.1872293176136114
0.85,0.0,0.7407974144341728,0.015256859319084338,0.005469942698074885,0.00017005697698314242,0.19104181707017748
0.86,0.0,0.7491433524461438,0.01592230178833205,0.005654048093714199,0.00018166823442659655,0.1948790436592919
0.87,0.0,0.7574809486916811,0.01660816214444196,0.0058421687088136345,0.00019391837085649334,0.19874066043574737
0.88,0.0,0.7658102115083829,0.017314806380208665,0.006034350207599588,0.00020683419450553657,0.20262633418261589
0.89,0.0,0.7741311492255132,0.018042602574571232,0.006230638561698826,0.00022044329546458917,0.20653573540925757
0.9,0.0,0.7824437701640082,0.018791921178786523,0.006431080007064278,0.0002347740765335824,0.21046853847440794
0.91,0.0,0.7907480826364891,0.0195631345088815,0.006635721138750286,0.0002498557339213358,0.21442442125487243
0.92,0.0,0.7990440949472692,0.02035661689058104,0.006844608892369207,0.00026571827917190035,0.21840306518775296
0.93,0.0,0.807331815392362,0.021172744688489196,0.007057790545650275,0.0002823925537774794,0.22240415524641138
0.9400000000000001,0.0,0.8156112522594893,0.02201189630156938,0.007275313725851527,0.0002999102416619551,0.22642737989713968
0.9500000000000001,0.0,0.8238824138280897,0.022874452158624534,0.007497226417171698,0.0003183038816644143,0.23047243105582987
0.96,0.0,0.8321453083693252,0.023760794866035634,0.007723576937171035,0.0003376068947861756,0.2345390041657368
0.97,0.0,0.840399944146089,0.024671309192785124,0.007954413946311599,0.00035785359566039237,0.2386267981458318
0.98,0.0,0.8486463294130175,0.025606381843913964,0.00818978650056041,0.0003790791835074388,0.24273551517089567
0.99,0.0,0.856884472416497,0.026566401581483684,0.008429744033260406,0.00040131976678559815,0.2468648607279859
1.0,0.0,0.8651143813946717,0.02755175922408564,0.008674336361722263,0.00042461237606526285,0.2510145435763109
1.01,0.0,0.8733360645774519,0.02856284764614477,0.008923613693858043,0.00044899497688320587,0.25518427570694135
1.02,0.0,0.8815495301865229,0.029600061792660122,0.009177626630654528,0.0004745064850109291,0.25937377232056186
1.03,0.0,0.8897547864353474,0.030663798874196485,0.009436426120067726,0.0005011868099114151,0.2635827520158841
1.04,0.0,0.8979518415291812,0.03175445810329773,0.009700063534507175,0.0005290768264815094,0.26781093644211595
1.05,0.0,0.9061407036650797,0.03287244071830761,0.009968590670862079,0.0005582183917402705,0.2720580502873258
1.06,0.0,0.9143213810319065,0.03401815003395117,0.010242059743315313,0.0005886543657022553,0.2763238212980822
1.07,0.0,0.9224938818103403,0.03519199144221141,0.010520523389553135,0.0006204286244777795,0.2806079802410029
1.08,0.0,0.9306582141728841,0.03639437241320607,0.010804034676974916,0.0006535860733731778,0.28491026086430465
1.09,0.0,0.9388143862838729,0.03762570249606428,0.011092647108902861,0.0006881726599910656,0.2892303998593523
1.1,0.0,0.9469624062994826,0.038886393319803314,0.011386414630791729,0.0007242353873305987,0.29356813682220817
1.11,0.0,0.9551022823677341,0.04017685869636674,0.01168539159893174,0.0007618223503641206,0.29792321438308306
1.12,0.0,0.9632340226284971,0.041497514778871,0.011989632728882614,0.0008009827853005664,0.30229537842652143
1.1300000000000001,0.0,0.9713576352135119,0.04284877964421607,0.012299193255242558,0.0008417669865694103,0.30668437736553433
