t,NatP,MisP,MCom,Hsp90,HCom,HSF1,DiH,TriH,HSE_TriH,HSE,AggP,ROS,ATP,ADP
0.0,6000000.0,0.0,0.0,300000.0,5900.0,100.0,0.0,0.0,0.0,1.0,0.0,100.0,10000.0,1000.0
0.01,5999880.124781403,0.0008005796827950081,119.97441798365675,299779.7837905824,5999.999959307167,4.00293834505131e-05,3.316801400071682e-07,2.8008728231324604e-11,1.0708620840360885e-14,0.9999999999999893,6.40670910541892e-16,100.00098999995049,10110.932889873602,889.0671101264043
0.02,5999760.299770468,0.0008008927443563622,239.89942855777062,299659.6145328921,5999.999959294411,4.004543600157988e-05,3.30012997519508e-07,4.1064938607553406e-11,2.7967552689392833e-14,0.9999999999999721,1.2818493853378366e-15,100.00197999980197,10209.253407999167,790.7465920008386
0.03,5999640.525806314,0.0008012059327224038,359.773392348942,299539.49419451103,5999.999959281632,4.006149488992768e-05,3.2835429599496907e-07,5.3988428019620365e-11,5.170496359249068e-14,0.9999999999999485,1.923529419531624e-15,100.00296999955447,10296.389483322153,703.6105166778519
0.04,5999520.803578613,0.0008015192454556593,479.59561968708186,299419.4237199672,5999.999959268829,4.007755998888658e-05,3.267039923894802e-07,6.678021480080277e-11,8.184959372895399e-14,0.9999999999999184,2.5657114104398915e-15,100.00395999920798,10373.607393087112,626.3926069128917
0.05,5999401.133650471,0.000801832680510439,599.3655474649287,299299.40389828617,5999.999959256004,4.009363119220617e-05,3.2506204388008356e-07,7.94413102621582e-11,1.183307474418614e-13,0.9999999999998819,3.208395752031908e-15,100.00494999876248,10442.030154521615,557.9698454783878
0.06,5999281.516477759,0.0008021462361764432,719.0827198132517,299179.4353855786,5999.999959243156,4.0109708411106894e-05,3.2342840786378363e-07,9.197271874454801e-11,1.6107828930636554e-13,0.9999999999998391,3.8515828355019684e-15,100.005939998218,10502.653626648145,497.3463733518562
0.07,5999161.952425885,0.0008024599110294848,838.7467713230393,299059.51872474584,5999.999959230287,4.012579157170544e-05,3.2180304195641894e-07,1.0437543766924282e-10,2.1002264022623536e-13,0.9999999999997902,4.4952730497643834e-15,100.0069299975745,10556.360953509986,443.6390464900143
0.08,5999042.441784074,0.000802773703889362,958.3574127708634,298939.6543623359,5999.9999592173945,4.014188061285857e-05,3.201859039915295e-07,1.1665045758745264e-10,2.650947735507611e-13,0.9999999999997351,5.1394667818740216e-15,100.00791999683202,10603.935313845292,396.0646861547083
0.09,5998922.984777563,0.0008030876137834064,1077.9144189157723,298819.8426630351,5999.999959204481,4.015797548416453e-05,3.185769520192128e-07,1.2879876222918138e-10,3.2622621119181214e-13,0.9999999999996739,5.784164417384643e-15,100.00890999599052,10646.071223799781,353.9287762002183
0.1,5998803.581578054,0.0008034016399161162,1197.417618059898,298700.0839221406,5999.999959191546,4.017407614487395e-05,3.1697614430500795e-07,1.4082132855068024e-10,3.933490197985755e-13,0.9999999999996068,6.429366340654501e-15,100.00989999505002,10683.384583746896,316.61541625310326
0.11,5998684.2323125675,0.0008037157816379125,1316.866883181594,298580.37837622425,5999.999959178588,4.0190182560171177e-05,3.1538343932877503e-07,1.527191267812557e-10,4.663958069434681e-13,0.9999999999995337,7.075072935104924e-15,100.01088999401051,10716.42156322812,283.57843677188083
0.12,5998564.937071014,0.000804030038430413,1436.2621243685485,298460.7262122959,5999.999959165611,4.0206294704248724e-05,3.1379879578358503e-07,1.6449312046924e-10,5.452997173404854e-13,0.9999999999994547,7.721284583440109e-15,100.01187999287201,10745.666497889257,254.33350211074207
0.13,5998445.695912614,0.0008043444098798206,1555.6032824013341,298341.12757563434,5999.99995915261,4.022241255577445e-05,3.1222217257461515e-07,1.7614426652728684e-10,6.299944290877064e-13,0.99999999999937,8.368001667832747e-15,100.01286999163452,10771.548887585906,228.45111241409032
0.14,5998326.5088713365,0.000804658895661743,1674.8903233125366,298221.58257648157,5999.99995913959,4.023853609788699e-05,3.1065352881804984e-07,1.8767351527704285e-10,7.204141499352233e-13,0.9999999999992796,9.015224570080606e-15,100.01385999029803,10794.449602730803,205.55039726919367
0.15,5998207.375960498,0.0008049734955274129,1794.1232337841693,298102.0912957572,5999.999959126548,4.025466531778506e-05,3.0909282383998833e-07,1.990818104932337e-10,8.164936135786635e-13,0.9999999999991834,9.662953671738261e-15,100.01484998886254,10814.706388934697,185.29361106530098
0.16,5998088.29717665,0.0008052882092910876,1913.3020172651097,297982.65378992574,5999.999959113484,4.0270800205947666e-05,3.075400171753581e-07,2.1037008944723804e-10,9.18168075977224e-13,0.9999999999990817,1.0311189354227527e-14,100.01583998732804,10832.618748053294,167.38125194670164
0.17,5997969.272502846,0.0008056030368194959,2032.4266907019514,297863.270095139,5999.9999591004,4.028694075556528e-05,3.059950685668334e-07,2.2153928295018235e-10,1.0253733116965005e-12,0.9999999999989746,1.0959931998929772e-14,100.01682998569454,10848.45226786624,151.54773213375782
0.18,5997850.301911383,0.0008059179780228991,2151.497281796628,297743.9402307533,5999.999959087295,4.030308696207668e-05,3.0445793796376107e-07,2.3259031539558341e-10,1.138045610275596e-12,0.9999999999988619,1.1609181987262753e-14,100.01781998396206,10862.442460812284,137.55753918771313
