t,NatP,MisP,Ub,E1,E2,E3,DUB,Proteasome,ROS,E1_Ub,E2_Ub,E3_MisP,MisP_Ub,MisP_Ub2,MisP_Ub3,MisP_Ub4,MisP_Ub5,MisP_Ub6,MisP_Ub7,MisP_Ub8,MisP_Ub4_Proteasome,MisP_Ub5_Proteasome,MisP_Ub6_Proteasome,MisP_Ub7_Proteasome,MisP_Ub8_Proteasome,ATP,ADP,AMP,degUb4,degUb5,degUb6,degUb7,degUb8,MisP_total,NatP_refolded,AggP,SeqAggP,AggP_Proteasome
0.0,500.0,0.0,500.0,100.0,100.0,100.0,200.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,500.00000000000193,9.99991480115695e-05,499.93335997989453,99.93339328883894,99.99996669105558,99.99999999915,200.0,100.0,10.0,0.06660671116104828,3.330894441484664e-05,8.499934439167526e-10,1.0676402594277549e-19,1.787385714379008e-29,7.912684532956856e-40,3.407742869842558e-50,3.282983361944548e-70,7.414837678355263e-91,7.145676363635452e-112,0.0,5.616255346466885e-66,1.2684688639293265e-86,1.222422981078376e-107,0.0,0.0,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.00010000000000000014,1.9999862007860466e-12,-2.499759096794986e-15,-1.016538304849001e-20,-1.0165383048490013e-20
0.02,500.00000000000796,0.00019999659206557574,499.8667731943605,99.86690635906047,99.99986683530007,99.99999999660004,200.0,100.0,10.0,0.13309364093953024,0.00013316469992594724,3.399954516021143e-09,2.1322619352321992e-18,1.0668652197978013e-27,2.955019073020806e-37,5.307825694013736e-47,2.6110041776642663e-57,1.1782247308903575e-67,6.87748740279714e-79,2.686259560424485e-89,1.9595925122957517e-53,8.545753380148054e-64,3.2481660350672715e-75,1.2686923198590007e-85,1.2222447339876968e-105,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.00020000000000000112,7.999904231505611e-12,-9.998333803051638e-15,-7.028780355946396e-20,-7.028780355946442e-20
0.03,500.00000000001796,0.000299992332193028,499.8002395489906,99.80053900155116,99.9997005474395,99.99999999235014,200.0,100.0,10.0,0.19946099844883797,0.00029945256049254866,7.649852262726623e-09,1.4121817914512036e-17,1.7417935056367432e-26,1.646318726706392e-35,1.180705390019186e-44,6.426553483742838e-54,2.4736362346175593e-63,6.001281810109326e-73,8.734666227419175e-83,2.169998819738005e-50,8.113824516062012e-60,1.9371842715656504e-69,2.81142474392538e-79,1.325763991517598e-89,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0003000000000000036,1.799968893408019e-11,-2.249459022979706e-14,-2.2819383645854973e-19,-2.281938364585502e-19
0.04,500.0000000000319,0.00039998636842803755,499.7337589402257,99.7342909867619,99.99946795346382,99.99999998640033,200.0,100.0,10.0,0.2657090132380981,0.0005320465361609768,1.3599652620707555e-08,5.842508551136934e-17,1.6126792095302893e-25,3.3800806208368578e-34,5.649845199841322e-43,7.660235752504748e-52,8.403838175465259e-61,7.381512219023793e-70,5.029458802059262e-79,1.5237428108332255e-48,1.6075666291044862e-57,1.370449538910288e-66,9.131244933207167e-76,4.6196622485882536e-85,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.00040000000000000853,3.1999268626098024e-11,-3.998728205906296e-14,-5.364399123160792e-19,-5.364399123160799e-19
0.05,500.0000000000499,0.0004999787008027812,499.6673312706069,99.66816209848696,99.99916917212,99.99999997875067,200.0,100.0,10.0,0.33183790151303616,0.0008308278799633957,2.1249323435838395e-08,1.7855908916736333e-16,9.98303391411196e-25,4.492943227748004e-33,1.612707117704549e-41,4.445410138589833e-50,9.444310307422498e-59,1.552925655455474e-67,1.9842752681497935e-76,5.235269820429189e-47,1.0864245000371104e-55,1.76243433032247e-64,2.2337605309284382e-73,2.177436651837662e-82,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0005000000000000166,4.9998575690258285e-11,-6.247523371149388e-14,-1.0445896864177346e-18,-1.0445896864177354e-18
0.06,500.0000000000719,0.0005999693293496913,499.6009564420832,99.60215211906208,99.9988043230212,99.99999996940116,200.0,100.0,10.0,0.3978478809379229,0.001195676978759413,3.0598832274184626e-08,4.429867903992626e-16,4.2022596127105915e-24,3.122672107859511e-32,1.8263499439140836e-40,8.397776928662446e-49,2.970591350713131e-57,7.986352670954812e-66,1.6537228214860682e-74,7.038375811437746e-46,2.4059733471311365e-54,6.334834738542719e-63,1.2949015898489517e-71,2.0639625179620014e-80,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0006000000000000287,7.199754197274507e-11,-8.995726032838726e-14,-1.8025903249129356e-18,-1.8025903249129368e-18
0.07,500.0000000000979,0.0006999582541011997,499.53463435681505,99.53626083112617,99.99837352568896,99.99999995835184,200.0,100.0,10.0,0.4637391688738375,0.0016264743110180487,4.164814666776717e-08,9.547645822334801e-16,1.4139020815713453e-23,1.6070508789171727e-31,1.4492408137842502e-39,1.050171055722121e-47,6.043381301108134e-56,2.7324173921160428e-64,9.483509444722679e-73,6.628492817395802e-45,3.6565083184936743e-53,1.604334530981971e-61,5.4645690019398455e-70,1.4282568167499591e-78,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0007000000000000457,9.79960993210913e-11,-1.2243217713050467e-13,-2.860376675496712e-18,-2.8603766754967136e-18
0.08,500.0000000001279,0.0007999454750897371,499.4683649171666,99.47048801761083,99.99787689955586,99.99999994560277,200.0,100.0,10.0,0.5295119823891901,0.002123100444120527,5.439723410860526e-08,1.857479404019114e-15,4.0582531201937164e-23,6.7170873748735406e-31,8.875731148239102e-39,9.535246602051503e-47,8.349499078453481e-55,5.923563698654717e-63,3.3493642744348596e-71,4.723209335947847e-44,3.962568037269981e-52,2.716061938524061e-60,1.4960922683642806e-68,6.518617198063118e-77,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0008000000000000682,1.2799417958413135e-10,-1.5989879941528806e-13,-4.2678716995180394e-18,-4.267871699518042e-18
0.09,500.0000000001619,0.0008999309923477348,499.4021480257513,99.40483346180973,99.99731456394163,99.99999993115394,200.0,100.0,10.0,0.5951665381902913,0.002685436058336944,6.884606199663928e-08,3.387442389456254e-15,1.886888026241361e-22,3.9269421611048477e-29,3.730063714202471e-36,1.5289314618410262e-43,3.749072892877911e-51,6.273304678567334e-59,7.5653112545223e-67,1.277799341191928e-41,3.1199609832130594e-49,5.214706962514823e-57,6.286609094334466e-65,5.569172654537918e-73,10000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0009000000000000971,1.6199171461230723e-10,-2.023559425748998e-13,-6.0749836803396026e-18,-6.074983680339584e-18
