t,R_NOS2,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31
0.0,0.616,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.01,0.6159982567224668,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.02,0.615996513449867,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.03,0.6159947701822006,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.04,0.6159930269194677,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.05,0.6159912836616682,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.06,0.6159895404088022,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.07,0.6159877971608695,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.08,0.6159860539178703,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.09,0.6159843106798044,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.1,0.6159825674466718,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.11,0.6159808242184727,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.12,0.6159790809952068,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.13,0.6159773377768742,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.14,0.615975594563475,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.15,0.615973851355009,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.16,0.6159721081514763,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.17,0.6159703649528769,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.18,0.6159686217592107,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
0.19,0.6159668785704777,0.0,100.0,0.0,150.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,250.0,0.0,0.0,0.0,100.0,0.0,0.0,80.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0
