t,R,LR,R_star,LR_star,LR_ds,R_ds,G_star,G
0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.01,0.020071839149405576,0.019906247168011742,2.007250178921399e-06,1.990631276373603e-05,0.009999548530211224,0.010000451589428711,0.00998001998496063,0.01001998001503937
0.02,0.02014540552357866,0.01983274698384018,2.0146065738163015e-06,1.9832746497839586e-05,0.009999096981802952,0.010000903157706475,0.00996007988649546,0.01003992011350454
0.03,0.020218702019167867,0.019759516382411323,2.0219359794915936e-06,1.9759503135204464e-05,0.009998645454470018,0.010001354704836042,0.009940179479302789,0.010059820520697212
0.04,0.02029172764247464,0.01968655639642833,2.0292382988332037e-06,1.9686543768592485e-05,0.009998193948213135,0.010001806230816434,0.009920318842304472,0.010079681157695529
0.05,0.020364482765722707,0.01961386665576851,2.0365135690630695e-06,1.961386625963571e-05,0.009997742463032033,0.010002257735648015,0.00990049794585792,0.010099502054142081
0.06,0.02043697123831485,0.019541443338270556,2.0437621751212053e-06,1.9541442980901633e-05,0.009997290998923936,0.01000270921933461,0.009880716483521394,0.010119283516478606
0.07,0.020509191081967217,0.01946928840821839,2.050983919179361e-06,1.9469288130671563e-05,0.00999683955589027,0.01000316068187425,0.009860974612781336,0.010139025387218665
0.08,0.020581140888627978,0.019397403272363105,2.0581786604371682e-06,1.939740315086562e-05,0.009996388133932062,0.010003612123265532,0.009841272446130566,0.010158727553869434
0.09,0.02065283127534533,0.019325777323464393,2.065347460563149e-06,1.9325777169060584e-05,0.009995936733041567,0.010004063543519067,0.009821609135346247,0.010178390864653754
0.1,0.020724254223115725,0.019254418573117958,2.0724895176843637e-06,1.9254418397143492e-05,0.009995485353224634,0.010004514942626839,0.009801985321086858,0.010198014678913143
0.11,0.020795411806756713,0.01918332494836835,2.079605039275673e-06,1.918332476496911e-05,0.009995033994479733,0.010004966320590942,0.009782400836883537,0.010217599163116464
0.12,0.020866306508066177,0.019112493969636424,2.0866942735086502e-06,1.911249380496186e-05,0.009994582656805025,0.010005417677413881,0.00976285548350241,0.01023714451649759
0.13,0.02093693858325595,0.019041925380978878,2.0937572460034854e-06,1.904192522290791e-05,0.009994131340200336,0.010005869013095903,0.009743349240886184,0.010256650759113816
0.14,0.021007309307378045,0.018971617908504997,2.1007940842610827e-06,1.897161772966076e-05,0.009993680044664728,0.010006320327638287,0.009723882006953191,0.01027611799304681
0.15,0.02107741991604049,0.018901570317726126,2.107804911838101e-06,1.8901570081954866e-05,0.009993228770197288,0.01000677162104228,0.009704453682598525,0.010295546317401476
0.16,0.021147270778985604,0.01883178223909897,2.1147897657080345e-06,1.883178204369343e-05,0.009992777516797635,0.010007222893308364,0.009685064234062546,0.010314935765937455
0.17,0.021216863524141722,0.01876225204623158,2.1217488086580302e-06,1.8762251915266758e-05,0.009992326284464616,0.010007674144438131,0.009665713532632673,0.010334286467367327
0.18,0.021286199317830407,0.01869297857384812,2.1286821573163736e-06,1.8692978534002823e-05,0.00999187507319736,0.010008125374432766,0.009646401484432923,0.010353598515567077
0.19,0.021355279326373218,0.01862396065667276,2.1355899283113496e-06,1.862396073722959e-05,0.009991423882995,0.010008576583293452,0.009627127995587311,0.010372872004412689
0.2,0.02142410396545038,0.01855519787949962,2.142472163209223e-06,1.8555198008924687e-05,0.009990972713857129,0.01000902777102071,0.009607893029104211,0.010392106970895789
0.21,0.02149267416911354,0.018486689309145977,2.14932895541194e-06,1.8486689386507995e-05,0.009990521565783016,0.010009478937615517,0.00958869650870929,0.01041130349129071
0.22,0.021560991230642895,0.018418433653474002,2.1561604342432933e-06,1.841843359793733e-05,0.009990070438771719,0.010009930083079172,0.00956953833090551,0.01043046166909449
0.23,0.021629056175007915,0.01835042988845236,2.1629667021967564e-06,1.8350429602310254e-05,0.009989619332822452,0.010010381207412733,0.009550418412528693,0.010449581587471307
0.24,0.021696869872656514,0.018282677144331676,2.1697478463145354e-06,1.828267661381478e-05,0.009989168247934513,0.010010832310617137,0.009531336681618109,0.010468663318381892
0.25,0.021764432857904338,0.018215174886973634,2.176503920027542e-06,1.8215174401539804e-05,0.00998871718410738,0.010011283392693053,0.009512293090584023,0.010487706909415978
0.26,0.021831746355842382,0.01814792189253567,2.183235045840254e-06,1.814792159421408e-05,0.009988266141340163,0.010011734453641698,0.009493287541752611,0.01050671245824739
0.27,0.02189881131291136,0.018080917215393448,2.189941318393719e-06,1.8080917280573638e-05,0.00998781511963212,0.010012185493464072,0.009474319957653354,0.010525680042346646
0.28,0.021965628675551987,0.018014159909922618,2.1966228323289873e-06,1.8014160549354495e-05,0.009987364118982513,0.010012636512161168,0.009455390260815736,0.010544609739184264
0.29,0.022032199004992287,0.01794764941604625,2.2032796437645918e-06,1.7947650193189964e-05,0.009986913139390681,0.010013087509733799,0.009436498397406035,0.010563501602593965
0.3,0.022098523404878924,0.017881384630797442,2.2099118630626865e-06,1.7881385421656085e-05,0.009986462180855847,0.010013538486183037,0.009417644280307514,0.010582355719692486
0.31,0.022164602832931344,0.01781536459726332,2.216519585992231e-06,1.781536533215854e-05,0.009986011243377271,0.010013989441509887,0.009398827831357589,0.010601172168642412
0.32,0.022230438209330298,0.017749588396102314,2.2231029045681934e-06,1.774958899324802e-05,0.009985560326954215,0.01001444037571533,0.009380048974697063,0.010619951025302938
0.33,0.022296030454256537,0.01768405510797286,2.2296619108055416e-06,1.7684055473475215e-05,0.009985109431585941,0.010014891288800351,0.009361307634466735,0.010638692365533265
