t,pM9,M3,M3_pM9,M3_T1,T1,pM9_T1,M3_pM9_T1,M9_T1_star,M9,M9_T1,M9_T1_M3,pM9_T1_M3,M3_pM9_T1_M3,Tr,Tr_pM9,Tr_pM9_T1,Tr_pM9_T1_M3
0.0,3e-07,5e-08,0.0,0.0,3e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-07,0.0,0.0,0.0
0.01,2.999649080613e-07,4.97144515932967e-08,1.4956111355177568e-12,2.840238324229088e-10,2.9968537952833825e-07,3.056752294366244e-11,7.586799086262642e-17,4.479055315854759e-19,4.374686186416912e-17,5.612190128704085e-22,4.101253954573072e-24,2.888692553024513e-14,8.753188531913987e-20,9.999700020245574e-08,2.9996445788398598e-12,1.5278911870563597e-16,1.7627912908122101e-19
0.02,2.999298322221149e-07,4.9430800563088144e-08,2.982466463140068e-12,5.66101338796511e-10,2.993727121025764e-07,6.107031419500809e-11,3.027116891770616e-16,2.32830675514714e-18,1.743838982772903e-16,2.9278245292251173e-21,3.0008386419530246e-23,1.153271139068976e-13,4.543301383355309e-19,9.999400080976939e-08,5.99857841103658e-12,6.109016348494151e-16,9.1791441275493e-19
0.03,2.9989477241962485e-07,4.9149031107450304e-08,4.46062563224762e-12,8.462488621794593e-10,2.9906198137510803e-07,9.150897860282565e-11,6.784642961811481e-16,7.097101804004221e-18,3.902731801704905e-16,8.962909794648214e-21,1.2155133281565e-22,2.5872070450897554e-13,1.3826920046106792e-18,9.99910018217949e-08,8.996801757187852e-12,1.373644218967783e-15,2.8036714269419164e-18
0.04,2.998597285734108e-07,4.886912310169306e-08,5.9301649356955066e-12,1.1244872163667698e-09,2.987531665263232e-07,1.2188428681332544e-10,1.200497923886799e-15,1.6547339678100504e-17,6.893874188094113e-16,2.1124789586530393e-20,4.2203376282841756e-22,4.583035020722084e-13,3.217429112928624e-18,9.998800323834326e-08,1.1994314956106538e-11,2.4401314180284522e-15,6.5691948257139756e-18
0.05,2.998247003921526e-07,4.859100414892692e-08,7.391360335991035e-12,1.4008912820695716e-09,2.9844619265447963e-07,1.5219901790724244e-10,1.8593517491090915e-15,3.6755901035214453e-17,1.0647941615307804e-15,4.876278507344703e-20,1.9118323370980976e-21,7.11320228252313e-13,7.118974215561787e-18,9.998500505871747e-08,1.4991119266561626e-11,3.807168297111122e-15,1.4847652528950272e-17
0.06,2.997896877897666e-07,4.831465286159837e-08,8.844293374239693e-12,1.6754831806667826e-09,2.981410376319841e-07,1.8245399295614087e-10,2.6522307635294134e-15,6.951402727411844e-17,1.5144492752522092e-15,9.464428928805049e-20,4.8855316676006216e-21,1.0169568495812709e-12,1.3429289259530789e-17,9.998200728271143e-08,1.798721506084645e-11,5.4738109040813955e-15,2.841679471631784e-17
0.07,2.997546907662529e-07,4.804006923970741e-08,1.028896405044148e-11,1.9482629121584033e-09,2.978377014588366e-07,2.1264921196002099e-10,3.579134967147768e-15,1.1482171839481246e-16,2.0383527599736962e-15,1.5876930223034097e-19,9.343131754336074e-21,1.3752133660590852e-12,2.2148374244835655e-17,9.997900991032516e-08,2.0982602338961048e-11,7.440059238939297e-15,4.727662138781678e-17
0.08,2.9971970932161146e-07,4.776725328325404e-08,1.1725372364596387e-11,2.2192304765444324e-09,2.975361841350371e-07,2.427846749188826e-10,4.640064359964152e-15,1.7267897439729672e-16,2.636504615695243e-15,2.4113782390031826e-19,1.5284632597304357e-20,1.7860897776857528e-12,3.327622917147641e-17,9.997601294155865e-08,2.3977281100905377e-11,9.705913301684787e-15,7.142713254344694e-17
0.09,2.996847434558423e-07,4.7496204992238266e-08,1.315351831670442e-11,2.4883858738248707e-09,2.9723648566058563e-07,2.7286038183272573e-10,5.83501894197857e-15,2.430857952815713e-16,3.3089048424168486e-15,3.41749854297982e-19,2.2710034196505545e-20,2.2495860844612737e-12,4.6812854039453004e-17,9.997301637641188e-08,2.697125134667946e-11,1.2271373092317899e-14,1.0086832818320838e-16
0.1,2.996497931689455e-07,4.722692436666009e-08,1.457340190676558e-11,2.755729103999718e-09,2.969386060354822e-07,3.0287633270155056e-10,7.16399871319102e-15,3.2604218104763615e-16,4.055553440138515e-15,4.606053934233331e-19,3.16193365519396e-20,2.7657022863856503e-12,6.275824884876549e-17,9.997002021488488e-08,2.9964513076283294e-11,1.5136438610838617e-14,1.3560020830710118e-16
0.11,2.996148584609209e-07,4.695941140651949e-08,1.5985023134779863e-11,3.021260167068975e-09,2.966425452597268e-07,3.328325275253568e-10,8.627003673601502e-15,4.21548131695491e-16,4.876450408860239e-15,5.977044412763709e-19,4.2012539663606524e-20,3.334438383458881e-12,8.111241359941383e-17,9.996702445697763e-08,3.2957066289716876e-11,1.8301109857246952e-14,1.7562277291512526e-16
0.12,2.995799393317686e-07,4.6693666111816496e-08,1.7388382000747274e-11,3.284979063032641e-09,2.9634830333331934e-07,3.627289663041447e-10,1.0224033823210013e-14,5.296036472251361e-16,5.7715957485820234e-15,7.530469978570952e-19,5.388964353150633e-20,3.955794375680965e-12,1.0187534829139803e-16,9.996402910269015e-08,3.5948910986980204e-11,2.1765386831542886e-14,2.2093602200728056e-16
0.13,2.995450357814885e-07,4.642968848255108e-08,1.878347850466781e-11,3.546885791890716e-09,2.9605588025626e-07,3.9256564903791417e-10,1.195508916201656e-14,6.502087276365714e-16,6.740989459303868e-15,9.266330631655067e-19,6.725064815563904e-20,4.6297702630519045e-12,1.2504705292471814e-16,9.996103415202242e-08,3.8940047168073295e-11,2.5529269533726437e-14,2.715399555835673e-16
0.14,2.995101478100808e-07,4.616747851872327e-08,2.0170312646541472e-11,3.8069803536432005e-09,2.957652760285486e-07,4.2234257572666515e-10,1.3820169690021136e-14,7.83363372929797e-16,7.784631541025772e-15,1.1184626372016051e-18,8.209555353600461e-20,5.356366045571699e-12,1.506275274993741e-16,9.995803960497445e-08,4.1930474832996125e-11,2.95927579637976e-14,3.2743457364398527e-16
0.15,2.994752754175453e-07,4.590703622033304e-08,2.1548884426368254e-11,4.065262748290093e-09,2.9547649065018527e-07,4.5205974637039766e-10,1.581927540722374e-14,9.290675831048125e-16,8.902521993747732e-15,1.3285357199653898e-18,9.842435967260302e-20,6.135581723240346e-12,1.7861677201536589e-16,9.995504546154623e-08,4.49201939817487e-11,3.395585212175636e-14,3.886198761885344e-16
0.16,2.9944041859809157e-07,4.5648360180853176e-08,2.291919931802237e-11,4.321734429860539e-09,2.9518952266672144e-07,4.817172143349746e-10,1.7952227865501006e-14,1.0874327612104825e-15,1.0094532187364723e-14,1.5570495172962044e-18,1.162747618985461e-19,6.967364408743743e-12,2.090340432883319e-16,9.995205172172357e-08,4.7909204640241276e-11,3.8618488883962655e-14,4.551472864313946e-16
0.17,2.994055769350996e-07,4.5391349202613095e-08,2.428165115911111e-11,4.57650001372147e-09,2.949042674326172e-07,5.113188192197266e-10,2.0206187971499044e-14,1.2664742010881337e-15,1.1351407365393908e-14,1.8181927140251333e-18,1.3835888680656495e-19,7.84790893366568e-12,2.4326484231992716e-16,9.994905838448407e-08,5.089750867268061e-11,4.3576126592637503e-14,5.30716632843294e-16
0.18,2.993707501719365e-07,4.513594094908659e-08,2.5636482548779232e-11,4.829623941658224e-09,2.946206604875011e-07,5.40866926170837e-10,2.2573247000887432e-14,1.471129225621168e-15,1.2667446711138161e-14,2.1207053663109006e-18,1.6634737117605504e-19,8.774871360844451e-12,2.821626207659325e-16,9.994606544919798e-08,5.3885107227395195e-11,4.882596764218779e-14,6.176069644690737e-16
0.19,2.993359383086023e-07,4.488213542027365e-08,2.6983693487026722e-11,5.081106213670798e-09,2.943387018313731e-07,5.70361535188306e-10,2.505340495366618e-14,1.7013978348095871e-15,1.4042650224597486e-14,2.46458747415351e-18,2.0024021500701646e-19,9.74825169028006e-12,3.2572737862634827e-16,9.994307291586529e-08,5.6872000304385053e-11,5.4368012032613496e-14,7.158182813087336e-16
0.2,2.99301141345097e-07,4.462993261617429e-08,2.8323283973853597e-11,5.330946829759195e-09,2.9405839146423315e-07,5.998026462721334e-10,2.7646661829835287e-14,1.9572800286533905e-15,1.547701790577188e-14,2.8498390375529618e-18,2.400374182994492e-19,1.076804992197251e-11,3.739591159011742e-16,9.994008078448599e-08,5.985818790365018e-11,6.020225976391464e-14,8.253505833622747e-16
0.21,2.992663592814206e-07,4.437933253678849e-08,2.965525400925984e-11,5.579145789923413e-09,2.937797293860813e-07,6.291902594223193e-10,3.035301762939474e-14,2.2387758071525766e-15,1.697054975466134e-14,3.276460056509254e-18,2.85738981053353e-19,1.1834266055921794e-11,4.2685783259041026e-16,9.993708905506009e-08,6.284367002519057e-11,6.63287108360912e-14,9.462038706296954e-16
0.22,2.9923159211757306e-07,4.413033518211627e-08,3.097960359324546e-11,5.825703094163453e-09,2.935027155969176e-07,6.585243746388637e-10,3.317247235234457e-14,2.5458851703071482e-15,1.8523245771265876e-14,3.744450531022388e-18,3.3734490326872825e-19,1.2946900092127921e-11,4.844235286940567e-16,9.993409772758758e-08,6.582844666900622e-11,7.274736524914321e-14,1.0783781431109971e-15
