t,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.0,10.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.01,0.8000001041136463,1.4350125608189812e-17,1.0159612791762759e-07,2.0319228235200932,1.828688812168323e-25,1.258509326206207e-18,2.517018943534688e-09,5.034038534924628,3.770644087957543e-17
0.02,0.8000001041136463,1.435012560818452e-17,1.0159612791759843e-07,2.03192282351951,1.828688812135603e-25,1.2585093262066578e-18,2.5170189435355266e-09,5.034038534924919,3.770644087546677e-17
0.03,0.8000001041136463,1.435012560817923e-17,1.0159612791756926e-07,2.031922823518927,1.8286888121028826e-25,1.2585093262071085e-18,2.5170189435363658e-09,5.0340385349252115,3.770644087135811e-17
0.04,0.8000001041136463,1.4350125608173936e-17,1.0159612791754009e-07,2.031922823518344,1.8286888120701626e-25,1.2585093262075593e-18,2.5170189435372045e-09,5.034038534925503,3.770644086724945e-17
0.05,0.8000001041136463,1.4350125608170892e-17,1.0159612791751094e-07,2.0319228235177604,1.8286888120548538e-25,1.2585093262078047e-18,2.5170189435376665e-09,5.034038534925794,3.770644086536554e-17
0.06,0.8000001041136463,1.435012560816973e-17,1.0159612791748178e-07,2.0319228235171773,1.828688812054183e-25,1.2585093262078775e-18,2.517018943537812e-09,5.034038534926085,3.7706440865352045e-17
0.07,0.8000001041136463,1.435012560816857e-17,1.0159612791745264e-07,2.0319228235165943,1.828688812053512e-25,1.2585093262079503e-18,2.5170189435379577e-09,5.034038534926378,3.770644086533855e-17
0.08,0.8000001041136463,1.435012560816741e-17,1.0159612791742348e-07,2.031922823516011,1.828688812052841e-25,1.2585093262080231e-18,2.5170189435381032e-09,5.034038534926669,3.7706440865325045e-17
0.09,0.8000001041136463,1.4350125608166245e-17,1.0159612791739432e-07,2.0319228235154276,1.8286888120521708e-25,1.258509326208096e-18,2.5170189435382497e-09,5.03403853492696,3.7706440865311684e-17
0.1,0.8000001041136463,1.4350125608165083e-17,1.0159612791736517e-07,2.0319228235148445,1.8286888120515004e-25,1.2585093262081689e-18,2.5170189435383952e-09,5.034038534927252,3.770644086529834e-17
0.11,0.8000001041136463,1.4350125608163918e-17,1.01596127917336e-07,2.0319228235142615,1.8286888120508298e-25,1.2585093262082417e-18,2.517018943538541e-09,5.034038534927543,3.7706440865285e-17
0.12,0.8000001041136463,1.4350125608162757e-17,1.0159612791730684e-07,2.0319228235136784,1.8286888120501594e-25,1.2585093262083147e-18,2.517018943538687e-09,5.034038534927835,3.7706440865271655e-17
0.13,0.8000001041136463,1.4350125608161592e-17,1.0159612791727768e-07,2.0319228235130953,1.828688812049489e-25,1.2585093262083875e-18,2.5170189435388324e-09,5.0340385349281265,3.770644086525831e-17
0.14,0.8000001041136463,1.435012560816043e-17,1.0159612791724853e-07,2.031922823512512,1.8286888120488186e-25,1.2585093262084605e-18,2.5170189435389784e-09,5.034038534928418,3.770644086524497e-17
0.15,0.8000001041136463,1.4350125608159265e-17,1.0159612791721937e-07,2.0319228235119287,1.8286888120481482e-25,1.2585093262085333e-18,2.517018943539124e-09,5.03403853492871,3.7706440865231627e-17
0.16,0.8000001041136463,1.43501256081581e-17,1.0159612791719021e-07,2.0319228235113456,1.8286888120474778e-25,1.2585093262086063e-18,2.51701894353927e-09,5.034038534929001,3.7706440865218284e-17
0.17,0.8000001041136463,1.435012560815694e-17,1.0159612791716106e-07,2.0319228235107625,1.8286888120468074e-25,1.258509326208679e-18,2.5170189435394156e-09,5.034038534929293,3.770644086520495e-17
0.18,0.8000001041136463,1.4350125608155774e-17,1.0159612791713189e-07,2.0319228235101794,1.828688812046137e-25,1.258509326208752e-18,2.5170189435395616e-09,5.034038534929585,3.7706440865191605e-17
0.19,0.8000001041136463,1.4350125608154612e-17,1.0159612791710273e-07,2.0319228235095963,1.8286888120454666e-25,1.2585093262088249e-18,2.517018943539707e-09,5.034038534929876,3.770644086517826e-17
0.2,0.8000001041136463,1.4350125608153447e-17,1.0159612791707358e-07,2.0319228235090128,1.8286888120447962e-25,1.2585093262088979e-18,2.517018943539853e-09,5.0340385349301675,3.770644086516492e-17
0.21,0.8000001041136463,1.4350125608152286e-17,1.0159612791704442e-07,2.0319228235084297,1.8286888120441258e-25,1.2585093262089707e-18,2.5170189435399987e-09,5.034038534930459,3.7706440865151576e-17
0.22,0.8000001041136463,1.435012560815112e-17,1.0159612791701526e-07,2.0319228235078466,1.8286888120434552e-25,1.2585093262090437e-18,2.5170189435401447e-09,5.034038534930751,3.7706440865138233e-17
0.23,0.8000001041136463,1.435012560814996e-17,1.015961279169861e-07,2.0319228235072635,1.8286888120427848e-25,1.2585093262091165e-18,2.5170189435402903e-09,5.034038534931042,3.770644086512489e-17
0.24,0.8000001041136463,1.4350125608148794e-17,1.0159612791695694e-07,2.0319228235066804,1.8286888120421144e-25,1.2585093262091895e-18,2.5170189435404363e-09,5.034038534931334,3.770644086511155e-17
0.25,0.8000001041136463,1.435012560814763e-17,1.0159612791692778e-07,2.0319228235060973,1.828688812041444e-25,1.2585093262092623e-18,2.517018943540582e-09,5.034038534931626,3.7706440865098205e-17
0.26,0.8000001041136463,1.4350125608146468e-17,1.0159612791689862e-07,2.031922823505514,1.8286888120407736e-25,1.2585093262093352e-18,2.517018943540728e-09,5.034038534931917,3.770644086508486e-17
0.27,0.8000001041136463,1.4350125608145303e-17,1.0159612791686947e-07,2.0319228235049307,1.8286888120401032e-25,1.258509326209408e-18,2.5170189435408735e-09,5.0340385349322085,3.770644086507152e-17
0.28,0.8000001041136463,1.435012560814414e-17,1.0159612791684031e-07,2.0319228235043476,1.8286888120394328e-25,1.258509326209481e-18,2.517018943541019e-09,5.0340385349325,3.7706440865058176e-17
0.29,0.8000001041136463,1.4350125608142977e-17,1.0159612791681115e-07,2.0319228235037645,1.8286888120387624e-25,1.2585093262095538e-18,2.517018943541165e-09,5.034038534932792,3.7706440865044833e-17
0.3,0.8000001041136463,1.4350125608141815e-17,1.0159612791678198e-07,2.0319228235031814,1.828688812038092e-25,1.2585093262096268e-18,2.5170189435413106e-09,5.034038534933083,3.770644086503149e-17
0.31,0.8000001041136463,1.435012560814065e-17,1.0159612791675283e-07,2.0319228235025983,1.8286888120374216e-25,1.2585093262096996e-18,2.5170189435414566e-09,5.034038534933375,3.770644086501815e-17
0.32,0.8000001041136463,1.4350125608139485e-17,1.0159612791672367e-07,2.031922823502015,1.8286888120367512e-25,1.2585093262097726e-18,2.5170189435416022e-09,5.034038534933667,3.7706440865004805e-17
0.33,0.8000001041136463,1.4350125608138324e-17,1.0159612791669451e-07,2.0319228235014317,1.8286888120360808e-25,1.2585093262098454e-18,2.5170189435417482e-09,5.034038534933958,3.770644086499147e-17
0.34,0.8000001041136463,1.435012560813716e-17,1.0159612791666536e-07,2.0319228235008486,1.8286888120354102e-25,1.2585093262099184e-18,2.517018943541894e-09,5.03403853493425,3.7706440864978125e-17
0.35000000000000003,0.8000001041136463,1.4350125608135997e-17,1.015961279166362e-07,2.0319228235002655,1.8286888120347398e-25,1.2585093262099912e-18,2.51701894354204e-09,5.034038534934542,3.770644086496478e-17
0.36,0.8000001041136463,1.4350125608134832e-17,1.0159612791660703e-07,2.0319228234996825,1.8286888120340694e-25,1.2585093262100642e-18,2.5170189435421854e-09,5.034038534934833,3.770644086495144e-17
0.37,0.8000001041136463,1.435012560813367e-17,1.0159612791657788e-07,2.0319228234990994,1.828688812033399e-25,1.258509326210137e-18,2.5170189435423314e-09,5.034038534935124,3.7706440864938097e-17
0.38,0.8000001041136463,1.4350125608132506e-17,1.0159612791654872e-07,2.031922823498516,1.8286888120327286e-25,1.25850932621021e-18,2.517018943542477e-09,5.034038534935416,3.7706440864924754e-17
0.39,0.8000001041136463,1.435012560813134e-17,1.0159612791651956e-07,2.0319228234979327,1.8286888120320582e-25,1.2585093262102828e-18,2.517018943542623e-09,5.034038534935708,3.770644086491141e-17
0.4,0.8000001041136463,1.435012560813018e-17,1.015961279164904e-07,2.0319228234973497,1.8286888120313878e-25,1.2585093262103558e-18,2.5170189435427685e-09,5.034038534935999,3.770644086489807e-17
0.41000000000000003,0.8000001041136463,1.4350125608129014e-17,1.0159612791646125e-07,2.0319228234967666,1.8286888120307174e-25,1.2585093262104286e-18,2.5170189435429145e-09,5.034038534936291,3.7706440864884725e-17
0.42,0.8000001041136463,1.4350125608127853e-17,1.0159612791643208e-07,2.0319228234961835,1.828688812030047e-25,1.2585093262105016e-18,2.51701894354306e-09,5.034038534936583,3.770644086487138e-17
0.43,0.8000001041136463,1.4350125608126688e-17,1.0159612791640292e-07,2.0319228234956,1.8286888120293766e-25,1.2585093262105744e-18,2.517018943543206e-09,5.034038534936874,3.770644086485804e-17
0.44,0.8000001041136463,1.4350125608125526e-17,1.0159612791637377e-07,2.031922823495017,1.8286888120287062e-25,1.2585093262106474e-18,2.5170189435433517e-09,5.0340385349371655,3.7706440864844697e-17
0.45,0.8000001041136463,1.435012560812436e-17,1.0159612791634461e-07,2.0319228234944338,1.8286888120280358e-25,1.2585093262107202e-18,2.5170189435434973e-09,5.034038534937457,3.770644086483136e-17
0.46,0.8000001041136463,1.4350125608123196e-17,1.0159612791631545e-07,2.0319228234938507,1.8286888120273654e-25,1.2585093262107932e-18,2.5170189435436433e-09,5.034038534937749,3.770644086481802e-17
0.47000000000000003,0.8000001041136463,1.4350125608122035e-17,1.015961279162863e-07,2.0319228234932676,1.8286888120266948e-25,1.258509326210866e-18,2.517018943543789e-09,5.03403853493804,3.7706440864804674e-17
